Year	Value
1960	18.7
1961	18.7
1962	18.6
1963	18.5
1964	18.4
1965	18.2
1966	18
1967	17.7
1968	17.5
1969	17.3
1970	17
1971	16.7
1972	16.3
1973	15.9
1974	15.5
1975	15
1976	14.6
1977	14.3
1978	14.1
1979	14
1980	14
1981	14.1
1982	14.2
1983	14.2
1984	14.3
1985	14.2
1986	14.1
1987	14
1988	13.8
1989	13.6
1990	13.4
1991	13.2
1992	13.1
1993	13
1994	12.5
1995	12.8
1996	12.8
1997	12.7
1998	12.8
1999	12.9
2000	13.3
2001	13.1
2002	12.9
2003	12.8
2004	12.8
2005	12.8
2006	13.1
2007	12.8
2008	12.9
2009	12.8
2010	12.9
2011	12.7
2012	12.6
2013	12.4
2014	12.4
2015	NA
