Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	NA
1981	NA
1982	NA
1983	43.5999984741211
1984	45.0999984741211
1985	48.7999992370605
1986	47.9000015258789
1987	48.4000015258789
1988	48
1989	47.0999984741211
1990	43.5
1991	41.9000015258789
1992	36.2999992370605
1993	34.9000015258789
1994	37.9000015258789
1995	40.9000015258789
1996	39.5999984741211
1997	40.7000007629395
1998	41.7999992370605
1999	39.5
2000	40.7999992370605
2001	36.7999992370605
2002	34.4000015258789
2003	37.2000007629395
2004	40.5
2005	41.5999984741211
2006	40.9000015258789
2007	39.5
2008	35.7000007629395
2009	34.7000007629395
2010	38.0999984741211
2011	40.4000015258789
2012	39.0999984741211
2013	39.7000007629395
2014	40.7999992370605
2015	NA
