Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	9.5
1981	10.6000003814697
1982	11.1999998092651
1983	10.5
1984	12.1000003814697
1985	12.6000003814697
1986	12.3000001907349
1987	13.5
1988	12.8000001907349
1989	12.6000003814697
1990	12.1999998092651
1991	11.6999998092651
1992	12.8999996185303
1993	13.5
1994	14.6000003814697
1995	14.1000003814697
1996	14.6000003814697
1997	14.5
1998	14.1999998092651
1999	14.1000003814697
2000	12.1999998092651
2001	10.5
2002	9.80000019073486
2003	9.5
2004	9.80000019073486
2005	9.89999961853027
2006	9.69999980926514
2007	8.60000038146973
2008	7.90000009536743
2009	9.39999961853027
2010	9.69999980926514
2011	9.69999980926514
2012	10
2013	9.80000019073486
2014	9.60000038146973
2015	NA
