Country	Indicator	                        Time	Value
France	Birth rate, crude (per 1,000 people)	1960	18.7
France	Birth rate, crude (per 1,000 people)	1961	18.7
France	Birth rate, crude (per 1,000 people)	1962	18.6
France	Birth rate, crude (per 1,000 people)	1963	18.5
France	Birth rate, crude (per 1,000 people)	1964	18.4
France	Birth rate, crude (per 1,000 people)	1965	18.2
France	Birth rate, crude (per 1,000 people)	1966	18
France	Birth rate, crude (per 1,000 people)	1967	17.7
France	Birth rate, crude (per 1,000 people)	1968	17.5
France	Birth rate, crude (per 1,000 people)	1969	17.3
France	Birth rate, crude (per 1,000 people)	1970	17
France	Birth rate, crude (per 1,000 people)	1971	16.7
France	Birth rate, crude (per 1,000 people)	1972	16.3
France	Birth rate, crude (per 1,000 people)	1973	15.9
France	Birth rate, crude (per 1,000 people)	1974	15.5
France	Birth rate, crude (per 1,000 people)	1975	15
France	Birth rate, crude (per 1,000 people)	1976	14.6
France	Birth rate, crude (per 1,000 people)	1977	14.3
France	Birth rate, crude (per 1,000 people)	1978	14.1
France	Birth rate, crude (per 1,000 people)	1979	14
France	Birth rate, crude (per 1,000 people)	1980	14
France	Birth rate, crude (per 1,000 people)	1981	14.1
France	Birth rate, crude (per 1,000 people)	1982	14.2
France	Birth rate, crude (per 1,000 people)	1983	14.2
France	Birth rate, crude (per 1,000 people)	1984	14.3
France	Birth rate, crude (per 1,000 people)	1985	14.2
France	Birth rate, crude (per 1,000 people)	1986	14.1
France	Birth rate, crude (per 1,000 people)	1987	14
France	Birth rate, crude (per 1,000 people)	1988	13.8
France	Birth rate, crude (per 1,000 people)	1989	13.6
France	Birth rate, crude (per 1,000 people)	1990	13.4
France	Birth rate, crude (per 1,000 people)	1991	13.2
France	Birth rate, crude (per 1,000 people)	1992	13.1
France	Birth rate, crude (per 1,000 people)	1993	13
France	Birth rate, crude (per 1,000 people)	1994	12.5
France	Birth rate, crude (per 1,000 people)	1995	12.8
France	Birth rate, crude (per 1,000 people)	1996	12.8
France	Birth rate, crude (per 1,000 people)	1997	12.7
France	Birth rate, crude (per 1,000 people)	1998	12.8
France	Birth rate, crude (per 1,000 people)	1999	12.9
France	Birth rate, crude (per 1,000 people)	2000	13.3
France	Birth rate, crude (per 1,000 people)	2001	13.1
France	Birth rate, crude (per 1,000 people)	2002	12.9
France	Birth rate, crude (per 1,000 people)	2003	12.8
France	Birth rate, crude (per 1,000 people)	2004	12.8
France	Birth rate, crude (per 1,000 people)	2005	12.8
France	Birth rate, crude (per 1,000 people)	2006	13.1
France	Birth rate, crude (per 1,000 people)	2007	12.8
France	Birth rate, crude (per 1,000 people)	2008	12.9
France	Birth rate, crude (per 1,000 people)	2009	12.8
France	Birth rate, crude (per 1,000 people)	2010	12.9
France	Birth rate, crude (per 1,000 people)	2011	12.7
France	Birth rate, crude (per 1,000 people)	2012	12.6
France	Birth rate, crude (per 1,000 people)	2013	12.4
France	Birth rate, crude (per 1,000 people)	2014	12.4
France	Birth rate, crude (per 1,000 people)	2015	NA
France	Fertility rate, total (births per woman)	1960	2.85
France	Fertility rate, total (births per woman)	1961	2.87
France	Fertility rate, total (births per woman)	1962	2.89
France	Fertility rate, total (births per woman)	1963	2.89
France	Fertility rate, total (births per woman)	1964	2.87
France	Fertility rate, total (births per woman)	1965	2.84
France	Fertility rate, total (births per woman)	1966	2.8
France	Fertility rate, total (births per woman)	1967	2.75
France	Fertility rate, total (births per woman)	1968	2.69
France	Fertility rate, total (births per woman)	1969	2.62
France	Fertility rate, total (births per woman)	1970	2.55
France	Fertility rate, total (births per woman)	1971	2.47
France	Fertility rate, total (births per woman)	1972	2.38
France	Fertility rate, total (births per woman)	1973	2.28
France	Fertility rate, total (births per woman)	1974	2.18
France	Fertility rate, total (births per woman)	1975	2.09
France	Fertility rate, total (births per woman)	1976	2.01
France	Fertility rate, total (births per woman)	1977	1.94
France	Fertility rate, total (births per woman)	1978	1.89
France	Fertility rate, total (births per woman)	1979	1.87
France	Fertility rate, total (births per woman)	1980	1.85
France	Fertility rate, total (births per woman)	1981	1.85
France	Fertility rate, total (births per woman)	1982	1.86
France	Fertility rate, total (births per woman)	1983	1.86
France	Fertility rate, total (births per woman)	1984	1.86
France	Fertility rate, total (births per woman)	1985	1.86
France	Fertility rate, total (births per woman)	1986	1.85
France	Fertility rate, total (births per woman)	1987	1.83
France	Fertility rate, total (births per woman)	1988	1.81
France	Fertility rate, total (births per woman)	1989	1.79
France	Fertility rate, total (births per woman)	1990	1.77
France	Fertility rate, total (births per woman)	1991	1.75
France	Fertility rate, total (births per woman)	1992	1.74
France	Fertility rate, total (births per woman)	1993	1.73
France	Fertility rate, total (births per woman)	1994	1.73
France	Fertility rate, total (births per woman)	1995	1.74
France	Fertility rate, total (births per woman)	1996	1.75
France	Fertility rate, total (births per woman)	1997	1.77
France	Fertility rate, total (births per woman)	1998	1.78
France	Fertility rate, total (births per woman)	1999	1.81
France	Fertility rate, total (births per woman)	2000	1.89
France	Fertility rate, total (births per woman)	2001	1.9
France	Fertility rate, total (births per woman)	2002	1.88
France	Fertility rate, total (births per woman)	2003	1.89
France	Fertility rate, total (births per woman)	2004	1.92
France	Fertility rate, total (births per woman)	2005	1.94
France	Fertility rate, total (births per woman)	2006	2
France	Fertility rate, total (births per woman)	2007	1.98
France	Fertility rate, total (births per woman)	2008	2.01
France	Fertility rate, total (births per woman)	2009	2
France	Fertility rate, total (births per woman)	2010	2.03
France	Fertility rate, total (births per woman)	2011	2.01
France	Fertility rate, total (births per woman)	2012	2.01
France	Fertility rate, total (births per woman)	2013	1.99
France	Fertility rate, total (births per woman)	2014	1.99
France	Fertility rate, total (births per woman)	2015	NA
France	Long-term unemployment, female (% of female unemployment)	1960	NA
France	Long-term unemployment, female (% of female unemployment)	1961	NA
France	Long-term unemployment, female (% of female unemployment)	1962	NA
France	Long-term unemployment, female (% of female unemployment)	1963	NA
France	Long-term unemployment, female (% of female unemployment)	1964	NA
France	Long-term unemployment, female (% of female unemployment)	1965	NA
France	Long-term unemployment, female (% of female unemployment)	1966	NA
France	Long-term unemployment, female (% of female unemployment)	1967	NA
France	Long-term unemployment, female (% of female unemployment)	1968	NA
France	Long-term unemployment, female (% of female unemployment)	1969	NA
France	Long-term unemployment, female (% of female unemployment)	1970	NA
France	Long-term unemployment, female (% of female unemployment)	1971	NA
France	Long-term unemployment, female (% of female unemployment)	1972	NA
France	Long-term unemployment, female (% of female unemployment)	1973	NA
France	Long-term unemployment, female (% of female unemployment)	1974	NA
France	Long-term unemployment, female (% of female unemployment)	1975	NA
