Year	Percentage
1960	NA
1961	5.50627243711742
1962	6.67217462633565
1963	5.34717376737879
1964	6.51833830272174
1965	4.77803517697649
1966	5.21400805193714
1967	4.68815882065179
1968	4.25902468977274
1969	6.99053053392915
1970	5.72711837638823
1971	5.34571156012025
1972	4.54157892774722
1973	6.31045065937808
1974	4.29124362529905
1975	-0.980059533999651
1976	4.31424610713003
1977	3.45136894591616
1978	3.97880585334404
1979	3.5591123229852
1980	1.58809881704131
1981	1.07783431903292
1982	2.50853125433588
1983	1.25629647397459
1984	1.52446943066113
1985	1.62324458918471
1986	2.35124228874039
1987	2.57740218370139
1988	4.7338724668561
1989	4.35323114095763
1990	2.91400970050218
1991	1.03910533058813
1992	1.59967121382168
1993	-0.612652833443249
1994	2.3453855933703
1995	2.08508453656513
1996	1.3880040284493
1997	2.33739765572744
1998	3.55613623578574
1999	3.40709914884665
2000	3.87516225904459
2001	1.95444942459253
2002	1.11845689155015
2003	0.819531669596628
2004	2.78642411077925
2005	1.60771381415587
2006	2.37494689958575
2007	2.36149887323958
2008	0.195294765594184
2009	-2.94134105462597
2010	1.96565737478667
2011	2.07922917455807
2012	0.18269303354748
2013	0.656485763257052
2014	0.179566376852165
2015	NA			
