Year	Value
1960	9808.99110875504
1961	10211.5671647626
1962	10740.1233150073
1963	11155.8338313018
1964	11727.8374408916
1965	12147.1050386999
1966	12657.7486859831
1967	13145.3068945469
1968	13608.7873885465
1969	14457.9848895072
1970	15169.435166785
1971	15844.747129601
1972	16414.5897292914
1973	17293.022859639
1974	17887.4495902337
1975	17591.2943780326
1976	18253.0206864708
1977	18806.1191945974
1978	19489.0712533082
1979	20115.8543657266
1980	20357.6993183797
1981	20486.4103480772
1982	20897.7193483124
1983	21048.134167852
1984	21250.0028111889
1985	21471.4018948552
1986	21846.6166769565
1987	22273.2827057152
1988	23184.93208595
1989	24050.2580990481
1990	24611.4491719488
1991	24847.4401475209
1992	25119.7018596863
1993	24857.8648339515
1994	25346.3529726351
1995	25781.542073733
1996	26047.0009437837
1997	26561.6962738751
1998	27405.0613951273
1999	28193.3655405917
2000	29086.0013654341
2001	29439.4333426378
2002	29552.9990995751
2003	29584.760733107
2004	30186.0315630532
2005	30441.0035455252
2006	30947.4444564041
2007	31482.8760063327
2008	31368.5640960876
2009	30289.6698541816
2010	30732.8535036063
2011	31220.4978864075
2012	31135.9198415295
2013	31204.5879425894
2014	31122.7654305148
2015	NA
