Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	NA
1981	NA
1982	NA
1983	38.5
1984	35.2000007629395
1985	41.0999984741211
1986	43.2000007629395
1987	43.2999992370605
1988	43.9000015258789
1989	42.5
1990	38.5999984741211
1991	37.0999984741211
1992	31.6000003814697
1993	31
1994	36.5999984741211
1995	38.7999992370605
1996	36.0999984741211
1997	37.5999984741211
1998	41.2999992370605
1999	37.5999984741211
2000	38.4000015258789
2001	36.9000015258789
2002	31
2003	37.0999984741211
2004	39.4000015258789
2005	39.5
2006	42.0999984741211
2007	39.9000015258789
2008	38.4000015258789
2009	35
2010	41.2999992370605
2011	41.9000015258789
2012	40.7999992370605
2013	40.5
2014	43.7999992370605
2015	NA
