Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	4.30000019073486
1981	5.30000019073486
1982	6.09999990463257
1983	6.09999990463257
1984	7.59999990463257
1985	8.5
1986	8.69999980926514
1987	8.60000038146973
1988	8.19999980926514
1989	7.30000019073486
1990	7.19999980926514
1991	7.19999980926514
1992	8.10000038146973
1993	9.69999980926514
1994	11.1000003814697
1995	10
1996	10.6000003814697
1997	11.1000003814697
1998	10.5
1999	10.5
2000	8.60000038146973
2001	7
2002	7.80000019073486
2003	7.59999990463257
2004	8
2005	8
2006	8.10000038146973
2007	7.5
2008	6.90000009536743
2009	8.89999961853027
2010	9
2011	8.69999980926514
2012	9.69999980926514
2013	10
2014	10.1000003814697
2015	NA
