Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	NA
1981	NA
1982	NA
1983	NA
1984	NA
1985	NA
1986	NA
1987	NA
1988	NA
1989	NA
1990	NA
1991	27.5
1992	30.3999996185303
1993	43.2000007629395
1994	47
1995	50.9000015258789
1996	51
1997	52.7999992370605
1998	54.5
1999	53.0999984741211
2000	51.7999992370605
2001	52.2000007629395
2002	49.5999984741211
2003	51.5999984741211
2004	52.9000015258789
2005	52.5
2006	55.9000015258789
2007	55.7999992370605
2008	51.0999984741211
2009	46.2999992370605
2010	46
2011	45.7999992370605
2012	43.4000015258789
2013	43.5
2014	41.5999984741211
2015	NA
