Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	NA
1981	NA
1982	NA
1983	7.5
1984	8.19999980926514
1985	8.5
1986	8.19999980926514
1987	7.90000009536743
1988	7.90000009536743
1989	7.5
1990	6.09999990463257
1991	6.5
1992	8.19999980926514
1993	9.30000019073486
1994	10.3000001907349
1995	9.60000038146973
1996	9.60000038146973
1997	10.6000003814697
1998	10.3999996185303
1999	9.19999980926514
2000	8.30000019073486
2001	7.80000019073486
2002	8.19999980926514
2003	9.30000019073486
2004	10.1000003814697
2005	10.8999996185303
2006	10.1999998092651
2007	8.80000019073486
2008	7.59999990463257
2009	7.30000019073486
2010	6.5
2011	5.59999990463257
2012	5.19999980926514
2013	4.90000009536743
2014	4.59999990463257
2015	NA
