Year	Value
1960	2.37
1961	2.45
1962	2.44
1963	2.51
1964	2.54
1965	2.5
1966	2.53
1967	2.48
1968	2.38
1969	2.21
1970	2.03
1971	1.92
1972	1.71
1973	1.54
1974	1.51
1975	1.45
1976	1.45
1977	1.4
1978	1.38
1979	1.38
1980	1.44
1981	1.43
1982	1.41
1983	1.33
1984	1.29
1985	1.37
1986	1.43
1987	1.43
1988	1.46
1989	1.42
1990	1.45
1991	1.33
1992	1.29
1993	1.28
1994	1.24
1995	1.25
1996	1.3
1997	1.35
1998	1.36
1999	1.36
2000	1.38
2001	1.35
2002	1.34
2003	1.34
2004	1.36
2005	1.34
2006	1.33
2007	1.37
2008	1.38
2009	1.36
2010	1.39
2011	1.36
2012	1.38
2013	1.39
2014	1.39
2015	NA
