Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	3.13269975367778
1972	4.30034129410552
1973	4.7774869132114
1974	0.890068704199294
1975	-0.866738895212265
1976	4.94925839213008
1977	3.34721808803467
1978	3.00849287686853
1979	4.1503633330354
1980	1.40882865924603
1981	0.529240537221568
1982	-0.394840745632834
1983	1.57241014934053
1984	2.82294783413745
1985	2.32793521988923
1986	2.28733926897232
1987	1.40215157409413
1988	3.70723566872432
1989	3.89655172419432
1990	5.25500608609781
1991	5.10826150794557
1992	1.92380701113764
1993	-0.956165307017542
1994	2.45737182000684
1995	1.73764063121563
1996	0.817897617014211
1997	1.84920066980847
1998	1.97961840703675
1999	1.98713494928661
2000	2.96204536784524
2001	1.69547145188611
2002	0
2003	-0.709906171880789
2004	1.16997041286515
2005	0.70671394810023
2006	3.70015957205484
2007	3.26053529682157
2008	1.08231540391905
2009	-5.61886043465857
2010	4.07993330487069
2011	3.66000015503516
2012	0.405170675144007
2013	0.29784758571904
2014	1.59977039232734
2015	NA
