Year	Value
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	14817.568239619
1971	15253.7456155658
1972	15833.7656280238
1973	16538.0542497196
1974	16678.7534476396
1975	16595.9544054664
1976	17492.1711478428
1977	18118.6422513749
1978	18679.9907006905
1979	19446.6794122598
1980	19679.7855781666
1981	19753.8292981089
1982	19694.5563950361
1983	20056.7460154826
1984	20694.3474077426
1985	21223.4777753965
1986	21698.9972328513
1987	21969.475153623
1988	22695.096980382
1989	23397.7780412797
1990	24415.9648891143
1991	25476.8922888094
1992	25770.3278098825
1993	25356.6791799184
1994	25889.8305500991
1995	26262.4028577763
1996	26400.6683966668
1997	26849.5565130547
1998	27376.9290955041
1999	27902.9048671634
2000	28690.5192153877
2001	29127.9169956743
2002	29078.9858634225
2003	28856.5719732878
2004	29200.5239936953
2005	29423.5896305906
2006	30546.7459383508
2007	31584.940077338
2008	31987.5530045958
2009	30266.8110435522
2010	31549.9738129079
2011	32696.4093465104
2012	33388.8588246091
2013	32792.3335286229
2014	33795.0710387551
2015	NA
