Country	Indicator	                        Time	Value
Germany	Birth rate, crude (per 1,000 people)	1960	17.3
Germany	Birth rate, crude (per 1,000 people)	1961	17.9
Germany	Birth rate, crude (per 1,000 people)	1962	17.8
Germany	Birth rate, crude (per 1,000 people)	1963	18.1
Germany	Birth rate, crude (per 1,000 people)	1964	18
Germany	Birth rate, crude (per 1,000 people)	1965	17.4
Germany	Birth rate, crude (per 1,000 people)	1966	17.2
Germany	Birth rate, crude (per 1,000 people)	1967	16.5
Germany	Birth rate, crude (per 1,000 people)	1968	15.7
Germany	Birth rate, crude (per 1,000 people)	1969	14.7
Germany	Birth rate, crude (per 1,000 people)	1970	13.4
Germany	Birth rate, crude (per 1,000 people)	1971	12.9
Germany	Birth rate, crude (per 1,000 people)	1972	11.5
Germany	Birth rate, crude (per 1,000 people)	1973	10.3
Germany	Birth rate, crude (per 1,000 people)	1974	10.2
Germany	Birth rate, crude (per 1,000 people)	1975	9.9
Germany	Birth rate, crude (per 1,000 people)	1976	10.2
Germany	Birth rate, crude (per 1,000 people)	1977	10.3
Germany	Birth rate, crude (per 1,000 people)	1978	10.4
Germany	Birth rate, crude (per 1,000 people)	1979	10.5
Germany	Birth rate, crude (per 1,000 people)	1980	11.1
Germany	Birth rate, crude (per 1,000 people)	1981	11
Germany	Birth rate, crude (per 1,000 people)	1982	11
Germany	Birth rate, crude (per 1,000 people)	1983	10.6
Germany	Birth rate, crude (per 1,000 people)	1984	10.4
Germany	Birth rate, crude (per 1,000 people)	1985	10.5
Germany	Birth rate, crude (per 1,000 people)	1986	10.9
Germany	Birth rate, crude (per 1,000 people)	1987	11.2
Germany	Birth rate, crude (per 1,000 people)	1988	11.4
Germany	Birth rate, crude (per 1,000 people)	1989	11.2
Germany	Birth rate, crude (per 1,000 people)	1990	11.4
Germany	Birth rate, crude (per 1,000 people)	1991	10.4
Germany	Birth rate, crude (per 1,000 people)	1992	10
Germany	Birth rate, crude (per 1,000 people)	1993	9.8
Germany	Birth rate, crude (per 1,000 people)	1994	9.5
Germany	Birth rate, crude (per 1,000 people)	1995	9.4
Germany	Birth rate, crude (per 1,000 people)	1996	9.7
Germany	Birth rate, crude (per 1,000 people)	1997	9.9
Germany	Birth rate, crude (per 1,000 people)	1998	9.6
Germany	Birth rate, crude (per 1,000 people)	1999	9.4
Germany	Birth rate, crude (per 1,000 people)	2000	9.3
Germany	Birth rate, crude (per 1,000 people)	2001	8.9
Germany	Birth rate, crude (per 1,000 people)	2002	8.7
Germany	Birth rate, crude (per 1,000 people)	2003	8.6
Germany	Birth rate, crude (per 1,000 people)	2004	8.6
Germany	Birth rate, crude (per 1,000 people)	2005	8.3
Germany	Birth rate, crude (per 1,000 people)	2006	8.2
Germany	Birth rate, crude (per 1,000 people)	2007	8.3
Germany	Birth rate, crude (per 1,000 people)	2008	8.3
Germany	Birth rate, crude (per 1,000 people)	2009	8.1
Germany	Birth rate, crude (per 1,000 people)	2010	8.3
