Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	NA
1981	NA
1982	NA
1983	NA
1984	NA
1985	NA
1986	NA
1987	NA
1988	NA
1989	NA
1990	NA
1991	35.7999992370605
1992	36.5999984741211
1993	36.5
1994	40.7999992370605
1995	45.5999984741211
1996	43.7999992370605
1997	46.0999984741211
1998	48.9000015258789
1999	49
2000	49
2001	47.5
2002	45.0999984741211
2003	47.7000007629395
2004	49.7999992370605
2005	52.5
2006	55.5999984741211
2007	56.0999984741211
2008	52.5
2009	43.9000015258789
2010	47.5999984741211
2011	49
2012	46.5
2013	45
2014	45.7999992370605
2015	NA
