Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	NA
1981	NA
1982	NA
1983	5.80000019073486
1984	5.69999980926514
1985	5.80000019073486
1986	5.5
1987	6.09999990463257
1988	5.30000019073486
1989	4.5
1990	4
1991	4.40000009536743
1992	4.90000009536743
1993	6.5
1994	7.5
1995	7.09999990463257
1996	8.19999980926514
1997	9.30000019073486
1998	9.30000019073486
1999	8.60000038146973
2000	7.59999990463257
2001	7.80000019073486
2002	8.69999980926514
2003	10.1999998092651
2004	11.3000001907349
2005	11.3999996185303
2006	10.3000001907349
2007	8.5
2008	7.40000009536743
2009	8.10000038146973
2010	7.5
2011	6
2012	5.59999990463257
2013	5.5
2014	5.30000019073486
2015	NA
