Year	Value
1960	5.666
1961	5.656
1962	5.645
1963	5.634
1964	5.623
1965	5.612
1966	5.599
1967	5.582
1968	5.556
1969	5.521
1970	5.474
1971	5.413
1972	5.338
1973	5.251
1974	5.152
1975	5.043
1976	4.927
1977	4.806
1978	4.682
1979	4.557
1980	4.43
1981	4.301
1982	4.167
1983	4.028
1984	3.887
1985	3.745
1986	3.606
1987	3.472
1988	3.346
1989	3.229
1990	3.122
1991	3.023
1992	2.931
1993	2.844
1994	2.764
1995	2.691
1996	2.628
1997	2.575
1998	2.534
1999	2.503
2000	2.483
2001	2.473
2002	2.469
2003	2.471
2004	2.475
2005	2.481
2006	2.489
2007	2.497
2008	2.504
2009	2.51
2010	2.513
2011	2.509
2012	2.5
2013	2.484
2014	2.463
2015	NA
