Year	Percentage
1960	NA
1961	6.10491536970619
1962	1.90966022522406
1963	-2.25303656339437
1964	3.45146579594365
1965	0.947080215354234
1966	2.85042825932244
1967	1.1249969206026
1968	12.0341784547595
1969	7.47738592890043
1970	8.1520959688881
1971	6.99736403962214
1972	7.88269775242935
1973	9.7761638793003
1974	8.25687602769311
1975	6.18342895248323
1976	5.9881464591719
1977	8.63646515619783
1978	9.20555751020397
1979	7.09262217539246
1980	8.72499892847533
1981	8.14819099666488
1982	1.10407370069908
1983	8.44990771988539
1984	7.17215198260404
1985	3.47753879445149
1986	5.96451638125059
1987	5.30000314006259
1988	6.35567874666685
1989	9.08471433619376
1990	9.00157322165104
1991	8.92779614533879
1992	7.22050160358023
1993	7.25407541210932
1994	7.54006667940328
1995	8.39635804474467
1996	7.64278628425994
1997	4.69987254233793
1998	-13.12672393471
1999	0.791129835608501
2000	4.920064597322
2001	3.6434664472154
2002	4.49947539085692
2003	4.7803691216759
2004	5.03087394501776
2005	5.6925713038347
2006	5.50095178520269
2007	6.34502222667253
2008	6.0137036000902
2009	4.62887118256319
2010	6.22385418062284
2011	6.1697842077098
2012	6.03005065305615
2013	5.57921116782603
2014	5.02466495739111
2015	NA
