Country Name	Series Name	Time	Value
Indonesia	Birth rate, crude (per 1,000 people)	1960	44.56
Indonesia	Birth rate, crude (per 1,000 people)	1961	44.277
Indonesia	Birth rate, crude (per 1,000 people)	1962	43.934
Indonesia	Birth rate, crude (per 1,000 people)	1963	43.551
Indonesia	Birth rate, crude (per 1,000 people)	1964	43.141
Indonesia	Birth rate, crude (per 1,000 people)	1965	42.71
Indonesia	Birth rate, crude (per 1,000 people)	1966	42.25
Indonesia	Birth rate, crude (per 1,000 people)	1967	41.747
Indonesia	Birth rate, crude (per 1,000 people)	1968	41.196
Indonesia	Birth rate, crude (per 1,000 people)	1969	40.601
Indonesia	Birth rate, crude (per 1,000 people)	1970	39.969
Indonesia	Birth rate, crude (per 1,000 people)	1971	39.309
Indonesia	Birth rate, crude (per 1,000 people)	1972	38.631
Indonesia	Birth rate, crude (per 1,000 people)	1973	37.947
Indonesia	Birth rate, crude (per 1,000 people)	1974	37.264
Indonesia	Birth rate, crude (per 1,000 people)	1975	36.592
Indonesia	Birth rate, crude (per 1,000 people)	1976	35.938
Indonesia	Birth rate, crude (per 1,000 people)	1977	35.3
Indonesia	Birth rate, crude (per 1,000 people)	1978	34.67
Indonesia	Birth rate, crude (per 1,000 people)	1979	34.042
Indonesia	Birth rate, crude (per 1,000 people)	1980	33.4
Indonesia	Birth rate, crude (per 1,000 people)	1981	32.724
Indonesia	Birth rate, crude (per 1,000 people)	1982	32.001
Indonesia	Birth rate, crude (per 1,000 people)	1983	31.229
Indonesia	Birth rate, crude (per 1,000 people)	1984	30.417
Indonesia	Birth rate, crude (per 1,000 people)	1985	29.581
Indonesia	Birth rate, crude (per 1,000 people)	1986	28.746
Indonesia	Birth rate, crude (per 1,000 people)	1987	27.937
Indonesia	Birth rate, crude (per 1,000 people)	1988	27.175
Indonesia	Birth rate, crude (per 1,000 people)	1989	26.468
Indonesia	Birth rate, crude (per 1,000 people)	1990	25.813
Indonesia	Birth rate, crude (per 1,000 people)	1991	25.194
Indonesia	Birth rate, crude (per 1,000 people)	1992	24.594
Indonesia	Birth rate, crude (per 1,000 people)	1993	24.006
Indonesia	Birth rate, crude (per 1,000 people)	1994	23.437
Indonesia	Birth rate, crude (per 1,000 people)	1995	22.907
Indonesia	Birth rate, crude (per 1,000 people)	1996	22.445
Indonesia	Birth rate, crude (per 1,000 people)	1997	22.071
Indonesia	Birth rate, crude (per 1,000 people)	1998	21.795
Indonesia	Birth rate, crude (per 1,000 people)	1999	21.615
Indonesia	Birth rate, crude (per 1,000 people)	2000	21.518
Indonesia	Birth rate, crude (per 1,000 people)	2001	21.486
Indonesia	Birth rate, crude (per 1,000 people)	2002	21.49
Indonesia	Birth rate, crude (per 1,000 people)	2003	21.5
Indonesia	Birth rate, crude (per 1,000 people)	2004	21.499
Indonesia	Birth rate, crude (per 1,000 people)	2005	21.476
Indonesia	Birth rate, crude (per 1,000 people)	2006	21.429
Indonesia	Birth rate, crude (per 1,000 people)	2007	21.364
Indonesia	Birth rate, crude (per 1,000 people)	2008	21.283
Indonesia	Birth rate, crude (per 1,000 people)	2009	21.177
Indonesia	Birth rate, crude (per 1,000 people)	2010	21.034
Indonesia	Birth rate, crude (per 1,000 people)	2011	20.841
Indonesia	Birth rate, crude (per 1,000 people)	2012	20.595
Indonesia	Birth rate, crude (per 1,000 people)	2013	20.297
Indonesia	Birth rate, crude (per 1,000 people)	2014	19.955
Indonesia	Birth rate, crude (per 1,000 people)	2015	NA
Indonesia	Fertility rate, total (births per woman)	1960	5.666
Indonesia	Fertility rate, total (births per woman)	1961	5.656
Indonesia	Fertility rate, total (births per woman)	1962	5.645
Indonesia	Fertility rate, total (births per woman)	1963	5.634
Indonesia	Fertility rate, total (births per woman)	1964	5.623
Indonesia	Fertility rate, total (births per woman)	1965	5.612
Indonesia	Fertility rate, total (births per woman)	1966	5.599
Indonesia	Fertility rate, total (births per woman)	1967	5.582
Indonesia	Fertility rate, total (births per woman)	1968	5.556
Indonesia	Fertility rate, total (births per woman)	1969	5.521
Indonesia	Fertility rate, total (births per woman)	1970	5.474
Indonesia	Fertility rate, total (births per woman)	1971	5.413
Indonesia	Fertility rate, total (births per woman)	1972	5.338
Indonesia	Fertility rate, total (births per woman)	1973	5.251
Indonesia	Fertility rate, total (births per woman)	1974	5.152
Indonesia	Fertility rate, total (births per woman)	1975	5.043
Indonesia	Fertility rate, total (births per woman)	1976	4.927
Indonesia	Fertility rate, total (births per woman)	1977	4.806
Indonesia	Fertility rate, total (births per woman)	1978	4.682
Indonesia	Fertility rate, total (births per woman)	1979	4.557
Indonesia	Fertility rate, total (births per woman)	1980	4.43
Indonesia	Fertility rate, total (births per woman)	1981	4.301
Indonesia	Fertility rate, total (births per woman)	1982	4.167
Indonesia	Fertility rate, total (births per woman)	1983	4.028
Indonesia	Fertility rate, total (births per woman)	1984	3.887
Indonesia	Fertility rate, total (births per woman)	1985	3.745
Indonesia	Fertility rate, total (births per woman)	1986	3.606
Indonesia	Fertility rate, total (births per woman)	1987	3.472
Indonesia	Fertility rate, total (births per woman)	1988	3.346
Indonesia	Fertility rate, total (births per woman)	1989	3.229
