Country	Indicator	                        Time	Value
Italy	Birth rate, crude (per 1,000 people)	1960	18.1
Italy	Birth rate, crude (per 1,000 people)	1961	18.4
Italy	Birth rate, crude (per 1,000 people)	1962	18.4
Italy	Birth rate, crude (per 1,000 people)	1963	18.7
Italy	Birth rate, crude (per 1,000 people)	1964	19.7
Italy	Birth rate, crude (per 1,000 people)	1965	19
Italy	Birth rate, crude (per 1,000 people)	1966	18.7
Italy	Birth rate, crude (per 1,000 people)	1967	17.9
Italy	Birth rate, crude (per 1,000 people)	1968	17.7
Italy	Birth rate, crude (per 1,000 people)	1969	17.4
Italy	Birth rate, crude (per 1,000 people)	1970	16.7
Italy	Birth rate, crude (per 1,000 people)	1971	16.8
Italy	Birth rate, crude (per 1,000 people)	1972	16.3
Italy	Birth rate, crude (per 1,000 people)	1973	16
Italy	Birth rate, crude (per 1,000 people)	1974	15.8
Italy	Birth rate, crude (per 1,000 people)	1975	14.9
Italy	Birth rate, crude (per 1,000 people)	1976	14
Italy	Birth rate, crude (per 1,000 people)	1977	13.2
Italy	Birth rate, crude (per 1,000 people)	1978	12.6
Italy	Birth rate, crude (per 1,000 people)	1979	11.9
Italy	Birth rate, crude (per 1,000 people)	1980	11.3
Italy	Birth rate, crude (per 1,000 people)	1981	11
Italy	Birth rate, crude (per 1,000 people)	1982	10.9
Italy	Birth rate, crude (per 1,000 people)	1983	10.6
Italy	Birth rate, crude (per 1,000 people)	1984	10.4
Italy	Birth rate, crude (per 1,000 people)	1985	10.2
Italy	Birth rate, crude (per 1,000 people)	1986	9.8
Italy	Birth rate, crude (per 1,000 people)	1987	9.7
Italy	Birth rate, crude (per 1,000 people)	1988	10.1
Italy	Birth rate, crude (per 1,000 people)	1989	9.9
Italy	Birth rate, crude (per 1,000 people)	1990	10
Italy	Birth rate, crude (per 1,000 people)	1991	9.9
Italy	Birth rate, crude (per 1,000 people)	1992	10
Italy	Birth rate, crude (per 1,000 people)	1993	9.7
Italy	Birth rate, crude (per 1,000 people)	1994	9.4
Italy	Birth rate, crude (per 1,000 people)	1995	9.2
Italy	Birth rate, crude (per 1,000 people)	1996	9.3
Italy	Birth rate, crude (per 1,000 people)	1997	9.4
Italy	Birth rate, crude (per 1,000 people)	1998	9.4
Italy	Birth rate, crude (per 1,000 people)	1999	9.4
Italy	Birth rate, crude (per 1,000 people)	2000	9.5
Italy	Birth rate, crude (per 1,000 people)	2001	9.4
Italy	Birth rate, crude (per 1,000 people)	2002	9.4
Italy	Birth rate, crude (per 1,000 people)	2003	9.5
Italy	Birth rate, crude (per 1,000 people)	2004	9.8
Italy	Birth rate, crude (per 1,000 people)	2005	9.6
Italy	Birth rate, crude (per 1,000 people)	2006	9.6
Italy	Birth rate, crude (per 1,000 people)	2007	9.7
Italy	Birth rate, crude (per 1,000 people)	2008	9.8
Italy	Birth rate, crude (per 1,000 people)	2009	9.6
Italy	Birth rate, crude (per 1,000 people)	2010	9.5
Italy	Birth rate, crude (per 1,000 people)	2011	9.2
Italy	Birth rate, crude (per 1,000 people)	2012	9
Italy	Birth rate, crude (per 1,000 people)	2013	8.5
Italy	Birth rate, crude (per 1,000 people)	2014	8.3
Italy	Birth rate, crude (per 1,000 people)	2015	NA
Italy	Fertility rate, total (births per woman)	1960	2.37
Italy	Fertility rate, total (births per woman)	1961	2.42
Italy	Fertility rate, total (births per woman)	1962	2.44
Italy	Fertility rate, total (births per woman)	1963	2.5
Italy	Fertility rate, total (births per woman)	1964	2.65
Italy	Fertility rate, total (births per woman)	1965	2.59
Italy	Fertility rate, total (births per woman)	1966	2.57
Italy	Fertility rate, total (births per woman)	1967	2.5
Italy	Fertility rate, total (births per woman)	1968	2.49
Italy	Fertility rate, total (births per woman)	1969	2.46
Italy	Fertility rate, total (births per woman)	1970	2.38
Italy	Fertility rate, total (births per woman)	1971	2.4
Italy	Fertility rate, total (births per woman)	1972	2.35
Italy	Fertility rate, total (births per woman)	1973	2.3
Italy	Fertility rate, total (births per woman)	1974	2.28
Italy	Fertility rate, total (births per woman)	1975	2.17
Italy	Fertility rate, total (births per woman)	1976	2.04
Italy	Fertility rate, total (births per woman)	1977	1.93
Italy	Fertility rate, total (births per woman)	1978	1.84
Italy	Fertility rate, total (births per woman)	1979	1.73
Italy	Fertility rate, total (births per woman)	1980	1.64
Italy	Fertility rate, total (births per woman)	1981	1.58
Italy	Fertility rate, total (births per woman)	1982	1.56
Italy	Fertility rate, total (births per woman)	1983	1.51
Italy	Fertility rate, total (births per woman)	1984	1.46
Italy	Fertility rate, total (births per woman)	1985	1.42
Italy	Fertility rate, total (births per woman)	1986	1.35
Italy	Fertility rate, total (births per woman)	1987	1.33
Italy	Fertility rate, total (births per woman)	1988	1.36
Italy	Fertility rate, total (births per woman)	1989	1.33
Italy	Fertility rate, total (births per woman)	1990	1.33
Italy	Fertility rate, total (births per woman)	1991	1.3
Italy	Fertility rate, total (births per woman)	1992	1.3
Italy	Fertility rate, total (births per woman)	1993	1.25
Italy	Fertility rate, total (births per woman)	1994	1.21
Italy	Fertility rate, total (births per woman)	1995	1.19
Italy	Fertility rate, total (births per woman)	1996	1.2
Italy	Fertility rate, total (births per woman)	1997	1.21
Italy	Fertility rate, total (births per woman)	1998	1.21
Italy	Fertility rate, total (births per woman)	1999	1.23
Italy	Fertility rate, total (births per woman)	2000	1.26
Italy	Fertility rate, total (births per woman)	2001	1.25
Italy	Fertility rate, total (births per woman)	2002	1.27
Italy	Fertility rate, total (births per woman)	2003	1.29
Italy	Fertility rate, total (births per woman)	2004	1.34
Italy	Fertility rate, total (births per woman)	2005	1.34
Italy	Fertility rate, total (births per woman)	2006	1.37
Italy	Fertility rate, total (births per woman)	2007	1.4
Italy	Fertility rate, total (births per woman)	2008	1.45
Italy	Fertility rate, total (births per woman)	2009	1.45
Italy	Fertility rate, total (births per woman)	2010	1.46
Italy	Fertility rate, total (births per woman)	2011	1.44
Italy	Fertility rate, total (births per woman)	2012	1.43
Italy	Fertility rate, total (births per woman)	2013	1.39
Italy	Fertility rate, total (births per woman)	2014	1.39
Italy	Fertility rate, total (births per woman)	2015	NA
Italy	Long-term unemployment, female (% of female unemployment)	1960	NA
Italy	Long-term unemployment, female (% of female unemployment)	1961	NA
Italy	Long-term unemployment, female (% of female unemployment)	1962	NA
Italy	Long-term unemployment, female (% of female unemployment)	1963	NA
Italy	Long-term unemployment, female (% of female unemployment)	1964	NA
Italy	Long-term unemployment, female (% of female unemployment)	1965	NA
Italy	Long-term unemployment, female (% of female unemployment)	1966	NA
Italy	Long-term unemployment, female (% of female unemployment)	1967	NA
Italy	Long-term unemployment, female (% of female unemployment)	1968	NA
Italy	Long-term unemployment, female (% of female unemployment)	1969	NA
Italy	Long-term unemployment, female (% of female unemployment)	1970	NA
Italy	Long-term unemployment, female (% of female unemployment)	1971	NA
Italy	Long-term unemployment, female (% of female unemployment)	1972	NA
Italy	Long-term unemployment, female (% of female unemployment)	1973	NA
Italy	Long-term unemployment, female (% of female unemployment)	1974	NA
Italy	Long-term unemployment, female (% of female unemployment)	1975	NA
Italy	Long-term unemployment, female (% of female unemployment)	1976	NA
Italy	Long-term unemployment, female (% of female unemployment)	1977	NA
Italy	Long-term unemployment, female (% of female unemployment)	1978	NA
Italy	Long-term unemployment, female (% of female unemployment)	1979	NA
Italy	Long-term unemployment, female (% of female unemployment)	1980	NA
Italy	Long-term unemployment, female (% of female unemployment)	1981	NA
Italy	Long-term unemployment, female (% of female unemployment)	1982	NA
Italy	Long-term unemployment, female (% of female unemployment)	1983	59
Italy	Long-term unemployment, female (% of female unemployment)	1984	65.6999969482422
Italy	Long-term unemployment, female (% of female unemployment)	1985	68
Italy	Long-term unemployment, female (% of female unemployment)	1986	68.9000015258789
Italy	Long-term unemployment, female (% of female unemployment)	1987	67.5999984741211
Italy	Long-term unemployment, female (% of female unemployment)	1988	68.8000030517578
Italy	Long-term unemployment, female (% of female unemployment)	1989	70.5999984741211
Italy	Long-term unemployment, female (% of female unemployment)	1990	70.5
Italy	Long-term unemployment, female (% of female unemployment)	1991	69
Italy	Long-term unemployment, female (% of female unemployment)	1992	57.7000007629395
Italy	Long-term unemployment, female (% of female unemployment)	1993	59.4000015258789
Italy	Long-term unemployment, female (% of female unemployment)	1994	62.7000007629395
Italy	Long-term unemployment, female (% of female unemployment)	1995	63.9000015258789
Italy	Long-term unemployment, female (% of female unemployment)	1996	66.5999984741211
Italy	Long-term unemployment, female (% of female unemployment)	1997	65.6999969482422
Italy	Long-term unemployment, female (% of female unemployment)	1998	58.2999992370605
Italy	Long-term unemployment, female (% of female unemployment)	1999	60
Italy	Long-term unemployment, female (% of female unemployment)	2000	61.2999992370605
Italy	Long-term unemployment, female (% of female unemployment)	2001	62
Italy	Long-term unemployment, female (% of female unemployment)	2002	59.4000015258789
Italy	Long-term unemployment, female (% of female unemployment)	2003	57.4000015258789
Italy	Long-term unemployment, female (% of female unemployment)	2004	50.2999992370605
Italy	Long-term unemployment, female (% of female unemployment)	2005	50.2000007629395
Italy	Long-term unemployment, female (% of female unemployment)	2006	50
Italy	Long-term unemployment, female (% of female unemployment)	2007	48.7000007629395
Italy	Long-term unemployment, female (% of female unemployment)	2008	47.0999984741211
Italy	Long-term unemployment, female (% of female unemployment)	2009	46.7999992370605
Italy	Long-term unemployment, female (% of female unemployment)	2010	49.4000015258789
Italy	Long-term unemployment, female (% of female unemployment)	2011	51.9000015258789
Italy	Long-term unemployment, female (% of female unemployment)	2012	54.2000007629395
Italy	Long-term unemployment, female (% of female unemployment)	2013	56.5999984741211
Italy	Long-term unemployment, female (% of female unemployment)	2014	62.0999984741211
Italy	Long-term unemployment, female (% of female unemployment)	2015	NA
Italy	Long-term unemployment, male (% of male unemployment)	1960	NA
Italy	Long-term unemployment, male (% of male unemployment)	1961	NA
Italy	Long-term unemployment, male (% of male unemployment)	1962	NA
Italy	Long-term unemployment, male (% of male unemployment)	1963	NA
Italy	Long-term unemployment, male (% of male unemployment)	1964	NA
Italy	Long-term unemployment, male (% of male unemployment)	1965	NA
Italy	Long-term unemployment, male (% of male unemployment)	1966	NA
Italy	Long-term unemployment, male (% of male unemployment)	1967	NA
Italy	Long-term unemployment, male (% of male unemployment)	1968	NA
Italy	Long-term unemployment, male (% of male unemployment)	1969	NA
Italy	Long-term unemployment, male (% of male unemployment)	1970	NA
Italy	Long-term unemployment, male (% of male unemployment)	1971	NA
Italy	Long-term unemployment, male (% of male unemployment)	1972	NA
Italy	Long-term unemployment, male (% of male unemployment)	1973	NA
Italy	Long-term unemployment, male (% of male unemployment)	1974	NA
Italy	Long-term unemployment, male (% of male unemployment)	1975	NA
Italy	Long-term unemployment, male (% of male unemployment)	1976	NA
Italy	Long-term unemployment, male (% of male unemployment)	1977	NA
Italy	Long-term unemployment, male (% of male unemployment)	1978	NA
Italy	Long-term unemployment, male (% of male unemployment)	1979	NA
Italy	Long-term unemployment, male (% of male unemployment)	1980	NA
Italy	Long-term unemployment, male (% of male unemployment)	1981	NA
Italy	Long-term unemployment, male (% of male unemployment)	1982	NA
Italy	Long-term unemployment, male (% of male unemployment)	1983	54.5
Italy	Long-term unemployment, male (% of male unemployment)	1984	61.5
Italy	Long-term unemployment, male (% of male unemployment)	1985	64.0999984741211
Italy	Long-term unemployment, male (% of male unemployment)	1986	64.5999984741211
Italy	Long-term unemployment, male (% of male unemployment)	1987	64.5999984741211
Italy	Long-term unemployment, male (% of male unemployment)	1988	68.4000015258789
Italy	Long-term unemployment, male (% of male unemployment)	1989	67.5999984741211
Italy	Long-term unemployment, male (% of male unemployment)	1990	68.5
Italy	Long-term unemployment, male (% of male unemployment)	1991	66.5999984741211
Italy	Long-term unemployment, male (% of male unemployment)	1992	57.5999984741211
Italy	Long-term unemployment, male (% of male unemployment)	1993	54.9000015258789
Italy	Long-term unemployment, male (% of male unemployment)	1994	58.9000015258789
Italy	Long-term unemployment, male (% of male unemployment)	1995	61.9000015258789
Italy	Long-term unemployment, male (% of male unemployment)	1996	63.4000015258789
Italy	Long-term unemployment, male (% of male unemployment)	1997	65.5
Italy	Long-term unemployment, male (% of male unemployment)	1998	59.5999984741211
Italy	Long-term unemployment, male (% of male unemployment)	1999	61.2000007629395
Italy	Long-term unemployment, male (% of male unemployment)	2000	61.2000007629395
Italy	Long-term unemployment, male (% of male unemployment)	2001	61.2000007629395
Italy	Long-term unemployment, male (% of male unemployment)	2002	58.7999992370605
Italy	Long-term unemployment, male (% of male unemployment)	2003	57.7999992370605
Italy	Long-term unemployment, male (% of male unemployment)	2004	44.4000015258789
Italy	Long-term unemployment, male (% of male unemployment)	2005	45.9000015258789
Italy	Long-term unemployment, male (% of male unemployment)	2006	46.7000007629395
Italy	Long-term unemployment, male (% of male unemployment)	2007	44.9000015258789
Italy	Long-term unemployment, male (% of male unemployment)	2008	43.2000007629395
Italy	Long-term unemployment, male (% of male unemployment)	2009	41.7999992370605
Italy	Long-term unemployment, male (% of male unemployment)	2010	46.7999992370605
Italy	Long-term unemployment, male (% of male unemployment)	2011	50.9000015258789
Italy	Long-term unemployment, male (% of male unemployment)	2012	51.2000007629395
Italy	Long-term unemployment, male (% of male unemployment)	2013	56.2000007629395
Italy	Long-term unemployment, male (% of male unemployment)	2014	59.5999984741211
Italy	Long-term unemployment, male (% of male unemployment)	2015	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1960	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1961	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1962	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1963	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1964	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1965	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1966	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1967	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1968	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1969	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1970	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1971	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1972	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1973	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1974	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1975	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1976	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1977	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1978	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1979	NA
Italy	Unemployment, female (% of female labor force) (national estimate)	1980	23.6000003814697
Italy	Unemployment, female (% of female labor force) (national estimate)	1981	24.3999996185303
Italy	Unemployment, female (% of female labor force) (national estimate)	1982	25.7999992370605
Italy	Unemployment, female (% of female labor force) (national estimate)	1983	14.3000001907349
Italy	Unemployment, female (% of female labor force) (national estimate)	1984	15.3000001907349
Italy	Unemployment, female (% of female labor force) (national estimate)	1985	15.3000001907349
