Year	Value
1960	18.1
1961	18.4
1962	18.4
1963	18.7
1964	19.7
1965	19
1966	18.7
1967	17.9
1968	17.7
1969	17.4
1970	16.7
1971	16.8
1972	16.3
1973	16
1974	15.8
1975	14.9
1976	14
1977	13.2
1978	12.6
1979	11.9
1980	11.3
1981	11
1982	10.9
1983	10.6
1984	10.4
1985	10.2
1986	9.8
1987	9.7
1988	10.1
1989	9.9
1990	10
1991	9.9
1992	10
1993	9.7
1994	9.4
1995	9.2
1996	9.3
1997	9.4
1998	9.4
1999	9.4
2000	9.5
2001	9.4
2002	9.4
2003	9.5
2004	9.8
2005	9.6
2006	9.6
2007	9.7
2008	9.8
2009	9.6
2010	9.5
2011	9.2
2012	9
2013	8.5
2014	8.3
2015	NA
