Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	NA
1981	NA
1982	NA
1983	59
1984	65.6999969482422
1985	68
1986	68.9000015258789
1987	67.5999984741211
1988	68.8000030517578
1989	70.5999984741211
1990	70.5
1991	69
1992	57.7000007629395
1993	59.4000015258789
1994	62.7000007629395
1995	63.9000015258789
1996	66.5999984741211
1997	65.6999969482422
1998	58.2999992370605
1999	60
2000	61.2999992370605
2001	62
2002	59.4000015258789
2003	57.4000015258789
2004	50.2999992370605
2005	50.2000007629395
2006	50
2007	48.7000007629395
2008	47.0999984741211
2009	46.7999992370605
2010	49.4000015258789
2011	51.9000015258789
2012	54.2000007629395
2013	56.5999984741211
2014	62.0999984741211
2015	NA
