Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	23.6000003814697
1981	24.3999996185303
1982	25.7999992370605
1983	14.3000001907349
1984	15.3000001907349
1985	15.3000001907349
1986	17
1987	16.6000003814697
1988	17.3999996185303
1989	17.2999992370605
1990	15.6999998092651
1991	15.6999998092651
1992	13.8999996185303
1993	14.8000001907349
1994	15.3000001907349
1995	16.1000003814697
1996	16.2000007629395
1997	16.3999996185303
1998	16.5
1999	16.2999992370605
2000	14.8999996185303
2001	13
2002	12.6000003814697
2003	11.8999996185303
2004	10.1999998092651
2005	10
2006	8.80000019073486
2007	7.80000019073486
2008	8.5
2009	9.19999980926514
2010	9.60000038146973
2011	9.5
2012	11.8000001907349
2013	13.1000003814697
2014	13.8000001907349
2015	NA
