Year	Value
1960	2.37
1961	2.42
1962	2.44
1963	2.5
1964	2.65
1965	2.59
1966	2.57
1967	2.5
1968	2.49
1969	2.46
1970	2.38
1971	2.4
1972	2.35
1973	2.3
1974	2.28
1975	2.17
1976	2.04
1977	1.93
1978	1.84
1979	1.73
1980	1.64
1981	1.58
1982	1.56
1983	1.51
1984	1.46
1985	1.42
1986	1.35
1987	1.33
1988	1.36
1989	1.33
1990	1.33
1991	1.3
1992	1.3
1993	1.25
1994	1.21
1995	1.19
1996	1.2
1997	1.21
1998	1.21
1999	1.23
2000	1.26
2001	1.25
2002	1.27
2003	1.29
2004	1.34
2005	1.34
2006	1.37
2007	1.4
2008	1.45
2009	1.45
2010	1.46
2011	1.44
2012	1.43
2013	1.39
2014	1.39
2015	NA
