Year	Percentage
1960	NA
1961	8.20724591384771
1962	6.20365045787122
1963	5.60972797819839
1964	2.79770227911492
1965	3.26802371964183
1966	5.98479422519715
1967	7.17861246556181
1968	6.54455465470529
1969	6.09805999558608
1970	5.3105024285488
1971	1.81810798268769
1972	3.69048575425484
1973	7.1258622963511
1974	5.50014112557258
1975	-2.09016291685244
1976	7.12538516250656
1977	2.56050079524093
1978	3.24013979340168
1979	5.95915945011265
1980	3.43001637371034
1981	0.844227637262819
1982	0.413585654934835
1983	1.16920349786214
1984	3.22585237993384
1985	2.79808572501568
1986	2.85997189200981
1987	3.19196061867899
1988	4.19437726758538
1989	3.38838351289574
1990	1.9857749009788
1991	1.53844755119185
1992	0.834275471163053
1993	-0.852805752805821
1994	2.15102364171796
1995	2.88683674239198
1996	1.28684172613217
1997	1.83587410037561
1998	1.61718922572425
1999	1.56111600800661
2000	3.71014968668139
2001	1.77280479262862
2002	0.2507783634031
2003	0.15264920815865
2004	1.58326986092131
2005	0.949616237138713
2006	2.00640492621345
2007	1.47412115960459
2008	-1.04982023279506
2009	-5.48138016114207
2010	1.71058185843889
2011	0.586819402557765
2012	-2.81793859650334
2013	-1.74741298505894
2014	-0.443878226180374
2015	NA
