Year	Value
1960	8205.60464932255
1961	8819.91058165479
1962	9303.90121414278
1963	9754.40099448191
1964	9945.15149656242
1965	10184.038624884
1966	10709.9590080471
1967	11396.0044535998
1968	12065.3595553404
1969	12728.8553352806
1970	13334.1136285728
1971	13513.3615104185
1972	13932.7472941318
1973	14824.6947375196
1974	15538.0611007615
1975	15122.7001492993
1976	16119.636898209
1977	16462.3125652674
1978	16935.2643336693
1979	17892.6527638738
1980	18468.2898392797
1981	18601.8585006551
1982	18664.9606459078
1983	18876.3396763112
1984	19480.9078815777
1985	20020.2137183897
1986	20591.6640750595
1987	21246.773513787
1988	22127.2487497989
1989	22859.8514188217
1990	23294.2891301082
1991	23636.2902003736
1992	23817.2987111117
1993	23599.751097189
1994	24102.4766481245
1995	24797.8818668953
1996	25109.9333680746
1997	25557.3949156107
1998	25963.2346124038
1999	26364.1157842311
2000	27329.8797104596
2001	27798.7668414244
2002	27827.010273768
2003	27745.8809970889
2004	28003.3525925926
2005	28130.7055691577
2006	28609.0049444329
2007	28884.5198312545
2008	28392.567861709
2009	26714.2717707218
2010	27087.7933092125
2011	27199.9315116582
2012	26362.3010200065
2013	25603.1113733405
2014	25256.6674491529
2015	NA
