Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	NA
1981	NA
1982	NA
1983	54.5
1984	61.5
1985	64.0999984741211
1986	64.5999984741211
1987	64.5999984741211
1988	68.4000015258789
1989	67.5999984741211
1990	68.5
1991	66.5999984741211
1992	57.5999984741211
1993	54.9000015258789
1994	58.9000015258789
1995	61.9000015258789
1996	63.4000015258789
1997	65.5
1998	59.5999984741211
1999	61.2000007629395
2000	61.2000007629395
2001	61.2000007629395
2002	58.7999992370605
2003	57.7999992370605
2004	44.4000015258789
2005	45.9000015258789
2006	46.7000007629395
2007	44.9000015258789
2008	43.2000007629395
2009	41.7999992370605
2010	46.7999992370605
2011	50.9000015258789
2012	51.2000007629395
2013	56.2000007629395
2014	59.5999984741211
2015	NA
