Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	12.6000003814697
1981	13.1999998092651
1982	14.6999998092651
1983	5.59999990463257
1984	6.40000009536743
1985	6.30000019073486
1986	7.09999990463257
1987	7.5
1988	7.30000019073486
1989	7.40000009536743
1990	6.40000009536743
1991	6.80000019073486
1992	6.69999980926514
1993	7.59999990463257
1994	8.69999980926514
1995	9.10000038146973
1996	9.30000019073486
1997	9.39999961853027
1998	9.39999961853027
1999	8.80000019073486
2000	8.30000019073486
2001	7.40000009536743
2002	7
2003	6.90000009536743
2004	6.30000019073486
2005	6.19999980926514
2006	5.40000009536743
2007	4.90000009536743
2008	5.5
2009	6.69999980926514
2010	7.5
2011	7.5
2012	9.80000019073486
2013	11.5
2014	11.8999996185303
2015	NA
