Year	Value
1960	17.3
1961	17
1962	17.1
1963	17.4
1964	17.8
1965	18.7
1966	13.8
1967	19.4
1968	18.7
1969	18.5
1970	18.7
1971	19.1
1972	19.2
1973	19.4
1974	18.4
1975	17
1976	16.2
1977	15.4
1978	14.8
1979	14.1
1980	13.5
1981	13
1982	12.8
1983	12.7
1984	12.5
1985	11.9
1986	11.4
1987	11.1
1988	10.8
1989	10.2
1990	10
1991	9.9
1992	9.8
1993	9.6
1994	10
1995	9.54
1996	9.6
1997	9.5
1998	9.6
1999	9.3
2000	9.4
2001	9.3
2002	9.3
2003	9.2
2004	8.69360456470183
2005	8.4132922190743
2006	8.65
2007	8.63
2008	8.7
2009	8.5
2010	8.5
2011	8.3
2012	8.2
2013	8.2
2014	8
2015	NA
