Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	14.3000001907349
1981	9.10000038146973
1982	10.1999998092651
1983	4.69999980926514
1984	8.80000019073486
1985	6.30000019073486
1986	11.8999996185303
1987	12
1988	13.1999998092651
1989	12.3000001907349
1990	8.5
1991	11.1000003814697
1992	9.80000019073486
1993	8.80000019073486
1994	11.8000001907349
1995	9.60000038146973
1996	12
1997	11.6000003814697
1998	12.1999998092651
1999	14.6000003814697
2000	17.1000003814697
2001	18.2999992370605
2002	22.3999996185303
2003	24.6000003814697
2004	23.1000003814697
2005	22.6000003814697
2006	20.7999992370605
2007	19.3999996185303
2008	23.7999992370605
2009	18.7999992370605
2010	25.2000007629395
2011	26.7000007629395
2012	26.6000003814697
2013	29.2999992370605
2014	23.7000007629395
2015	NA
