Year	Percentage
1960	NA
1961	12.0435364080117
1962	8.90897299558068
1963	8.47364238279391
1964	11.6767081963974
1965	5.81970787298218
1966	10.6385615591638
1967	11.0821423246928
1968	12.8824681383234
1969	12.4778945144977
1970	-1.02378934270344
1971	4.69899204223955
1972	8.41354725519619
1973	8.03259997470759
1974	-1.22523982752838
1975	3.09157591621754
1976	3.97498409097427
1977	4.39033795024852
1978	5.2719415029552
1979	5.48404183243474
1980	2.81759120759146
1981	4.17684395605036
1982	3.37660829647312
1983	3.06073803569728
1984	4.46389901588201
1985	6.33335688874419
1986	2.83107664081793
1987	4.10742706380134
1988	7.14669370733412
1989	5.37015251895328
1990	5.57239829948062
1991	3.32434077482466
1992	0.81902985883076
1993	0.171062719640176
1994	0.863578243741685
1995	1.9423434223593
1996	2.61005462852573
1997	1.59562858836495
1998	-2.00314783384422
1999	-0.199337318936728
2000	2.25749530218789
2001	0.355461714844068
2002	0.289548450888503
2003	1.68511172176457
2004	2.36073011347646
2005	1.30272814427119
2006	1.69290424492254
2007	2.1921862325069
2008	-1.04163603444127
2009	-5.52697648865967
2010	4.65203015430662
2011	-0.452724839090976
2012	1.75368977535797
2013	1.61336690630259
2014	-0.104499999999959
2015	NA
