Year	Value
1960	734651.511144665
1961	801954.358573258
1962	865298.02662873
1963	929118.904051688
1964	1026854.230339
1965	1074998.89290787
1966	1178553.08517526
1967	1297009.45665326
1968	1459228.56961234
1969	1607726.77257879
1970	1573378.72216398
1971	1626240.43716946
1972	1738540.46604191
1973	1862706.72179702
1974	1805094.61827309
1975	1831342.85905306
1976	1890107.01053108
1977	1954166.23868509
1978	2038657.60469112
1979	2132418.86512989
1980	2175379.53897947
1981	2249560.07572249
1982	2309792.80933988
1983	2364321.37388541
1984	2454242.75635738
1985	2593772.6228597
1986	2651002.45033994
1987	2746349.93270429
1988	2930095.52878488
1989	3074832.12618425
1990	3235111.42863757
1991	3332299.50222723
1992	3351262.6195695
1993	3348719.88124077
1994	3366151.14188987
1995	3418457.09744737
1996	3498810.87110936
1997	3546179.29863633
1998	3465713.90744937
1999	3452495.90074942
2000	3524535.21309099
2001	3528551.19969249
2002	3530549.02664287
2003	3582368.92781205
2004	3665704.82312912
2005	3713110.23626979
2006	3773577.42767845
2007	3851872.58612745
2008	3809904.68510499
2009	3599781.90029442
2010	3766568.28297025
2011	3756929.7146058
2012	3830480.16574187
2013	3899092.13164323
2014	3901354.08650331
2015	NA
