Country	Indicator	                        Time	Value
Japan	Birth rate, crude (per 1,000 people)	1960	17.3
Japan	Birth rate, crude (per 1,000 people)	1961	17
Japan	Birth rate, crude (per 1,000 people)	1962	17.1
Japan	Birth rate, crude (per 1,000 people)	1963	17.4
Japan	Birth rate, crude (per 1,000 people)	1964	17.8
Japan	Birth rate, crude (per 1,000 people)	1965	18.7
Japan	Birth rate, crude (per 1,000 people)	1966	13.8
Japan	Birth rate, crude (per 1,000 people)	1967	19.4
Japan	Birth rate, crude (per 1,000 people)	1968	18.7
Japan	Birth rate, crude (per 1,000 people)	1969	18.5
Japan	Birth rate, crude (per 1,000 people)	1970	18.7
Japan	Birth rate, crude (per 1,000 people)	1971	19.1
Japan	Birth rate, crude (per 1,000 people)	1972	19.2
Japan	Birth rate, crude (per 1,000 people)	1973	19.4
Japan	Birth rate, crude (per 1,000 people)	1974	18.4
Japan	Birth rate, crude (per 1,000 people)	1975	17
Japan	Birth rate, crude (per 1,000 people)	1976	16.2
Japan	Birth rate, crude (per 1,000 people)	1977	15.4
Japan	Birth rate, crude (per 1,000 people)	1978	14.8
Japan	Birth rate, crude (per 1,000 people)	1979	14.1
Japan	Birth rate, crude (per 1,000 people)	1980	13.5
Japan	Birth rate, crude (per 1,000 people)	1981	13
Japan	Birth rate, crude (per 1,000 people)	1982	12.8
Japan	Birth rate, crude (per 1,000 people)	1983	12.7
Japan	Birth rate, crude (per 1,000 people)	1984	12.5
Japan	Birth rate, crude (per 1,000 people)	1985	11.9
Japan	Birth rate, crude (per 1,000 people)	1986	11.4
Japan	Birth rate, crude (per 1,000 people)	1987	11.1
Japan	Birth rate, crude (per 1,000 people)	1988	10.8
Japan	Birth rate, crude (per 1,000 people)	1989	10.2
Japan	Birth rate, crude (per 1,000 people)	1990	10
Japan	Birth rate, crude (per 1,000 people)	1991	9.9
Japan	Birth rate, crude (per 1,000 people)	1992	9.8
Japan	Birth rate, crude (per 1,000 people)	1993	9.6
Japan	Birth rate, crude (per 1,000 people)	1994	10
Japan	Birth rate, crude (per 1,000 people)	1995	9.54
Japan	Birth rate, crude (per 1,000 people)	1996	9.6
Japan	Birth rate, crude (per 1,000 people)	1997	9.5
Japan	Birth rate, crude (per 1,000 people)	1998	9.6
Japan	Birth rate, crude (per 1,000 people)	1999	9.3
Japan	Birth rate, crude (per 1,000 people)	2000	9.4
Japan	Birth rate, crude (per 1,000 people)	2001	9.3
Japan	Birth rate, crude (per 1,000 people)	2002	9.3
Japan	Birth rate, crude (per 1,000 people)	2003	9.2
Japan	Birth rate, crude (per 1,000 people)	2004	8.69360456470183
Japan	Birth rate, crude (per 1,000 people)	2005	8.4132922190743
Japan	Birth rate, crude (per 1,000 people)	2006	8.65
Japan	Birth rate, crude (per 1,000 people)	2007	8.63
Japan	Birth rate, crude (per 1,000 people)	2008	8.7
Japan	Birth rate, crude (per 1,000 people)	2009	8.5
Japan	Birth rate, crude (per 1,000 people)	2010	8.5
Japan	Birth rate, crude (per 1,000 people)	2011	8.3
Japan	Birth rate, crude (per 1,000 people)	2012	8.2
Japan	Birth rate, crude (per 1,000 people)	2013	8.2
Japan	Birth rate, crude (per 1,000 people)	2014	8
Japan	Birth rate, crude (per 1,000 people)	2015	NA
Japan	Fertility rate, total (births per woman)	1960	2.001
Japan	Fertility rate, total (births per woman)	1961	2.05
Japan	Fertility rate, total (births per woman)	1962	2.01
Japan	Fertility rate, total (births per woman)	1963	2.02
Japan	Fertility rate, total (births per woman)	1964	2.05
Japan	Fertility rate, total (births per woman)	1965	2.139
Japan	Fertility rate, total (births per woman)	1966	1.58
Japan	Fertility rate, total (births per woman)	1967	2.02
Japan	Fertility rate, total (births per woman)	1968	2.13
Japan	Fertility rate, total (births per woman)	1969	2.13
Japan	Fertility rate, total (births per woman)	1970	2.135
Japan	Fertility rate, total (births per woman)	1971	2.16
Japan	Fertility rate, total (births per woman)	1972	2.14
Japan	Fertility rate, total (births per woman)	1973	2.14
Japan	Fertility rate, total (births per woman)	1974	2.05
Japan	Fertility rate, total (births per woman)	1975	1.909
Japan	Fertility rate, total (births per woman)	1976	1.85
Japan	Fertility rate, total (births per woman)	1977	1.8
Japan	Fertility rate, total (births per woman)	1978	1.79
Japan	Fertility rate, total (births per woman)	1979	1.77
Japan	Fertility rate, total (births per woman)	1980	1.75
Japan	Fertility rate, total (births per woman)	1981	1.74
Japan	Fertility rate, total (births per woman)	1982	1.77
Japan	Fertility rate, total (births per woman)	1983	1.8
Japan	Fertility rate, total (births per woman)	1984	1.81
Japan	Fertility rate, total (births per woman)	1985	1.76
Japan	Fertility rate, total (births per woman)	1986	1.72
Japan	Fertility rate, total (births per woman)	1987	1.69
Japan	Fertility rate, total (births per woman)	1988	1.66
Japan	Fertility rate, total (births per woman)	1989	1.57
Japan	Fertility rate, total (births per woman)	1990	1.54
Japan	Fertility rate, total (births per woman)	1991	1.53
Japan	Fertility rate, total (births per woman)	1992	1.502
Japan	Fertility rate, total (births per woman)	1993	1.458
Japan	Fertility rate, total (births per woman)	1994	1.5
Japan	Fertility rate, total (births per woman)	1995	1.422
Japan	Fertility rate, total (births per woman)	1996	1.425
Japan	Fertility rate, total (births per woman)	1997	1.388
Japan	Fertility rate, total (births per woman)	1998	1.384
Japan	Fertility rate, total (births per woman)	1999	1.342
Japan	Fertility rate, total (births per woman)	2000	1.359
Japan	Fertility rate, total (births per woman)	2001	1.33
Japan	Fertility rate, total (births per woman)	2002	1.32
Japan	Fertility rate, total (births per woman)	2003	1.29
Japan	Fertility rate, total (births per woman)	2004	1.29
Japan	Fertility rate, total (births per woman)	2005	1.26
Japan	Fertility rate, total (births per woman)	2006	1.32
Japan	Fertility rate, total (births per woman)	2007	1.34
Japan	Fertility rate, total (births per woman)	2008	1.37
Japan	Fertility rate, total (births per woman)	2009	1.37
Japan	Fertility rate, total (births per woman)	2010	1.39
Japan	Fertility rate, total (births per woman)	2011	1.39
Japan	Fertility rate, total (births per woman)	2012	1.41
Japan	Fertility rate, total (births per woman)	2013	1.43
Japan	Fertility rate, total (births per woman)	2014	1.42
Japan	Fertility rate, total (births per woman)	2015	NA
Japan	Long-term unemployment, female (% of female unemployment)	1960	NA
Japan	Long-term unemployment, female (% of female unemployment)	1961	NA
Japan	Long-term unemployment, female (% of female unemployment)	1962	NA
Japan	Long-term unemployment, female (% of female unemployment)	1963	NA
Japan	Long-term unemployment, female (% of female unemployment)	1964	NA
Japan	Long-term unemployment, female (% of female unemployment)	1965	NA
Japan	Long-term unemployment, female (% of female unemployment)	1966	NA
Japan	Long-term unemployment, female (% of female unemployment)	1967	NA
Japan	Long-term unemployment, female (% of female unemployment)	1968	NA
Japan	Long-term unemployment, female (% of female unemployment)	1969	NA
Japan	Long-term unemployment, female (% of female unemployment)	1970	NA
Japan	Long-term unemployment, female (% of female unemployment)	1971	NA
Japan	Long-term unemployment, female (% of female unemployment)	1972	NA
Japan	Long-term unemployment, female (% of female unemployment)	1973	NA
Japan	Long-term unemployment, female (% of female unemployment)	1974	NA
Japan	Long-term unemployment, female (% of female unemployment)	1975	NA
Japan	Long-term unemployment, female (% of female unemployment)	1976	NA
Japan	Long-term unemployment, female (% of female unemployment)	1977	NA
Japan	Long-term unemployment, female (% of female unemployment)	1978	NA
Japan	Long-term unemployment, female (% of female unemployment)	1979	NA
