Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	16
1981	14.3999996185303
1982	13.1999998092651
1983	16.1000003814697
1984	17.7999992370605
1985	16.7000007629395
1986	20.3999996185303
1987	24.7999992370605
1988	23.3999996185303
1989	22.5
1990	25.8999996185303
1991	21.7000007629395
1992	19.7999992370605
1993	20
1994	21.3999996185303
1995	23.5
1996	23.1000003814697
1997	28.3999996185303
1998	25.2999992370605
1999	27
2000	30.7000007629395
2001	32.0999984741211
2002	36.2000007629395
2003	38.9000015258789
2004	40.2000007629395
2005	40.2999992370605
2006	40.9000015258789
2007	40.2999992370605
2008	39.9000015258789
2009	34.7999992370605
2010	44.7999992370605
2011	47.2999992370605
2012	46.2000007629395
2013	48.7000007629395
2014	47.0999984741211
2015	NA
