Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	2.20000004768372
1981	2.79999995231628
1982	2.59999990463257
1983	2.40000009536743
1984	3
1985	2.79999995231628
1986	2.70000004768372
1987	3.09999990463257
1988	2.90000009536743
1989	2.40000009536743
1990	2.20000004768372
1991	2.20000004768372
1992	2.09999990463257
1993	2.29999995231628
1994	2.79999995231628
1995	3
1996	3.40000009536743
1997	3.29999995231628
1998	3.79999995231628
1999	4.69999980926514
2000	5
2001	4.80000019073486
2002	5.40000009536743
2003	5.5
2004	4.80000019073486
2005	4.5
2006	4.19999980926514
2007	3.79999995231628
2008	3.90000009536743
2009	5.09999990463257
2010	5.30000019073486
2011	4.69999980926514
2012	4.5
2013	4.19999980926514
2014	3.59999990463257
2015	NA
