Year	Value
1960	6.354
1961	6.351
1962	6.346
1963	6.341
1964	6.336
1965	6.335
1966	6.342
1967	6.359
1968	6.387
1969	6.425
1970	6.471
1971	6.522
1972	6.575
1973	6.625
1974	6.669
1975	6.706
1976	6.735
1977	6.757
1978	6.772
1979	6.781
1980	6.783
1981	6.779
1982	6.767
1983	6.749
1984	6.726
1985	6.698
1986	6.664
1987	6.625
1988	6.582
1989	6.537
1990	6.49
1991	6.443
1992	6.395
1993	6.348
1994	6.303
1995	6.262
1996	6.224
1997	6.19
1998	6.159
1999	6.131
2000	6.106
2001	6.083
2002	6.06
2003	6.036
2004	6.011
2005	5.985
2006	5.958
2007	5.93
2008	5.902
2009	5.873
2010	5.84
2011	5.802
2012	5.758
2013	5.707
2014	5.65
2015	NA
