Year	Percentage
1960	NA
1961	0.191795489475993
1962	4.10299258913267
1963	8.57861892045244
1964	4.95048865913527
1965	4.88497683767599
1966	-4.25051418779017
1967	-15.7436282059309
1968	-1.24836024600982
1969	24.1973839489741
1970	25.0072419254014
1971	14.2375315597008
1972	3.36426203025739
1973	5.39276048396687
1974	11.160674548765
1975	-5.22774755857583
1976	9.04235173026559
1977	6.02411784619478
1978	-5.76415839249863
1979	6.75943093484364
1980	4.20483104683017
1981	-13.12788048507
1982	-1.05318605956708
1983	-5.05045110920774
1984	-2.02153756872873
1985	8.32282970019253
1986	-8.75417697942682
1987	-10.7517001400015
1988	7.54252202521535
1989	6.46719114422203
1990	12.7660091736101
1991	-0.617850588622787
1992	0.433725356726427
1993	2.09037780053187
1994	0.909763335172016
1995	-0.307468969258082
1996	4.9937055370533
1997	2.80225643858698
1998	2.71564017861093
1999	0.47423757536906
2000	5.31809338064855
2001	4.41106519565903
2002	3.78464818288238
2003	10.3541845645132
2004	33.7357750284295
2005	3.44466681332356
2006	8.2109648588917
2007	6.82839834798025
2008	6.27026369732737
2009	6.93441600392744
2010	7.83973947709083
2011	4.88738661141304
2012	4.27927731389333
2013	5.39441631089461
2014	6.30971825251392
2015	NA
