Country Name	Series Name	Time	Value
Nigeria	Birth rate, crude (per 1,000 people)	1960	46.26
Nigeria	Birth rate, crude (per 1,000 people)	1961	46.206
Nigeria	Birth rate, crude (per 1,000 people)	1962	46.128
Nigeria	Birth rate, crude (per 1,000 people)	1963	46.031
Nigeria	Birth rate, crude (per 1,000 people)	1964	45.927
Nigeria	Birth rate, crude (per 1,000 people)	1965	45.839
Nigeria	Birth rate, crude (per 1,000 people)	1966	45.792
Nigeria	Birth rate, crude (per 1,000 people)	1967	45.803
Nigeria	Birth rate, crude (per 1,000 people)	1968	45.878
Nigeria	Birth rate, crude (per 1,000 people)	1969	46.014
Nigeria	Birth rate, crude (per 1,000 people)	1970	46.2
Nigeria	Birth rate, crude (per 1,000 people)	1971	46.418
Nigeria	Birth rate, crude (per 1,000 people)	1972	46.638
Nigeria	Birth rate, crude (per 1,000 people)	1973	46.835
Nigeria	Birth rate, crude (per 1,000 people)	1974	46.991
Nigeria	Birth rate, crude (per 1,000 people)	1975	47.093
Nigeria	Birth rate, crude (per 1,000 people)	1976	47.134
Nigeria	Birth rate, crude (per 1,000 people)	1977	47.12
Nigeria	Birth rate, crude (per 1,000 people)	1978	47.057
Nigeria	Birth rate, crude (per 1,000 people)	1979	46.948
Nigeria	Birth rate, crude (per 1,000 people)	1980	46.793
Nigeria	Birth rate, crude (per 1,000 people)	1981	46.593
Nigeria	Birth rate, crude (per 1,000 people)	1982	46.356
Nigeria	Birth rate, crude (per 1,000 people)	1983	46.092
Nigeria	Birth rate, crude (per 1,000 people)	1984	45.809
Nigeria	Birth rate, crude (per 1,000 people)	1985	45.516
Nigeria	Birth rate, crude (per 1,000 people)	1986	45.218
Nigeria	Birth rate, crude (per 1,000 people)	1987	44.92
Nigeria	Birth rate, crude (per 1,000 people)	1988	44.63
Nigeria	Birth rate, crude (per 1,000 people)	1989	44.354
Nigeria	Birth rate, crude (per 1,000 people)	1990	44.101
Nigeria	Birth rate, crude (per 1,000 people)	1991	43.879
Nigeria	Birth rate, crude (per 1,000 people)	1992	43.686
Nigeria	Birth rate, crude (per 1,000 people)	1993	43.521
Nigeria	Birth rate, crude (per 1,000 people)	1994	43.384
Nigeria	Birth rate, crude (per 1,000 people)	1995	43.275
Nigeria	Birth rate, crude (per 1,000 people)	1996	43.192
Nigeria	Birth rate, crude (per 1,000 people)	1997	43.129
Nigeria	Birth rate, crude (per 1,000 people)	1998	43.076
Nigeria	Birth rate, crude (per 1,000 people)	1999	43.024
Nigeria	Birth rate, crude (per 1,000 people)	2000	42.965
Nigeria	Birth rate, crude (per 1,000 people)	2001	42.889
Nigeria	Birth rate, crude (per 1,000 people)	2002	42.791
Nigeria	Birth rate, crude (per 1,000 people)	2003	42.666
Nigeria	Birth rate, crude (per 1,000 people)	2004	42.512
Nigeria	Birth rate, crude (per 1,000 people)	2005	42.329
Nigeria	Birth rate, crude (per 1,000 people)	2006	42.123
Nigeria	Birth rate, crude (per 1,000 people)	2007	41.9
Nigeria	Birth rate, crude (per 1,000 people)	2008	41.663
Nigeria	Birth rate, crude (per 1,000 people)	2009	41.408
Nigeria	Birth rate, crude (per 1,000 people)	2010	41.129
Nigeria	Birth rate, crude (per 1,000 people)	2011	40.811
Nigeria	Birth rate, crude (per 1,000 people)	2012	40.45
Nigeria	Birth rate, crude (per 1,000 people)	2013	40.045
Nigeria	Birth rate, crude (per 1,000 people)	2014	39.6
Nigeria	Birth rate, crude (per 1,000 people)	2015	NA
Nigeria	Fertility rate, total (births per woman)	1960	6.354
Nigeria	Fertility rate, total (births per woman)	1961	6.351
Nigeria	Fertility rate, total (births per woman)	1962	6.346
Nigeria	Fertility rate, total (births per woman)	1963	6.341
Nigeria	Fertility rate, total (births per woman)	1964	6.336
Nigeria	Fertility rate, total (births per woman)	1965	6.335
Nigeria	Fertility rate, total (births per woman)	1966	6.342
Nigeria	Fertility rate, total (births per woman)	1967	6.359
Nigeria	Fertility rate, total (births per woman)	1968	6.387
Nigeria	Fertility rate, total (births per woman)	1969	6.425
Nigeria	Fertility rate, total (births per woman)	1970	6.471
Nigeria	Fertility rate, total (births per woman)	1971	6.522
Nigeria	Fertility rate, total (births per woman)	1972	6.575
Nigeria	Fertility rate, total (births per woman)	1973	6.625
Nigeria	Fertility rate, total (births per woman)	1974	6.669
Nigeria	Fertility rate, total (births per woman)	1975	6.706
Nigeria	Fertility rate, total (births per woman)	1976	6.735
Nigeria	Fertility rate, total (births per woman)	1977	6.757
Nigeria	Fertility rate, total (births per woman)	1978	6.772
Nigeria	Fertility rate, total (births per woman)	1979	6.781
Nigeria	Fertility rate, total (births per woman)	1980	6.783
Nigeria	Fertility rate, total (births per woman)	1981	6.779
Nigeria	Fertility rate, total (births per woman)	1982	6.767
Nigeria	Fertility rate, total (births per woman)	1983	6.749
Nigeria	Fertility rate, total (births per woman)	1984	6.726
Nigeria	Fertility rate, total (births per woman)	1985	6.698
Nigeria	Fertility rate, total (births per woman)	1986	6.664
Nigeria	Fertility rate, total (births per woman)	1987	6.625
Nigeria	Fertility rate, total (births per woman)	1988	6.582
Nigeria	Fertility rate, total (births per woman)	1989	6.537
Nigeria	Fertility rate, total (births per woman)	1990	6.49
Nigeria	Fertility rate, total (births per woman)	1991	6.443
Nigeria	Fertility rate, total (births per woman)	1992	6.395
Nigeria	Fertility rate, total (births per woman)	1993	6.348
Nigeria	Fertility rate, total (births per woman)	1994	6.303
Nigeria	Fertility rate, total (births per woman)	1995	6.262
Nigeria	Fertility rate, total (births per woman)	1996	6.224
Nigeria	Fertility rate, total (births per woman)	1997	6.19
Nigeria	Fertility rate, total (births per woman)	1998	6.159
Nigeria	Fertility rate, total (births per woman)	1999	6.131
Nigeria	Fertility rate, total (births per woman)	2000	6.106
Nigeria	Fertility rate, total (births per woman)	2001	6.083
Nigeria	Fertility rate, total (births per woman)	2002	6.06
Nigeria	Fertility rate, total (births per woman)	2003	6.036
Nigeria	Fertility rate, total (births per woman)	2004	6.011
Nigeria	Fertility rate, total (births per woman)	2005	5.985
Nigeria	Fertility rate, total (births per woman)	2006	5.958
Nigeria	Fertility rate, total (births per woman)	2007	5.93
Nigeria	Fertility rate, total (births per woman)	2008	5.902
Nigeria	Fertility rate, total (births per woman)	2009	5.873
Nigeria	Fertility rate, total (births per woman)	2010	5.84
Nigeria	Fertility rate, total (births per woman)	2011	5.802
Nigeria	Fertility rate, total (births per woman)	2012	5.758
Nigeria	Fertility rate, total (births per woman)	2013	5.707
Nigeria	Fertility rate, total (births per woman)	2014	5.65
Nigeria	Fertility rate, total (births per woman)	2015	NA
Nigeria	GDP growth (annual %)	1960	NA
Nigeria	GDP growth (annual %)	1961	0.191795489475993
Nigeria	GDP growth (annual %)	1962	4.10299258913267
Nigeria	GDP growth (annual %)	1963	8.57861892045244
Nigeria	GDP growth (annual %)	1964	4.95048865913527
Nigeria	GDP growth (annual %)	1965	4.88497683767599
Nigeria	GDP growth (annual %)	1966	-4.25051418779017
Nigeria	GDP growth (annual %)	1967	-15.7436282059309
Nigeria	GDP growth (annual %)	1968	-1.24836024600982
Nigeria	GDP growth (annual %)	1969	24.1973839489741
Nigeria	GDP growth (annual %)	1970	25.0072419254014
