Year	Value
1960	6.6
1961	6.6
1962	6.6
1963	6.6
1964	6.6
1965	6.6
1966	6.6
1967	6.6
1968	6.6
1969	6.6
1970	6.601
1971	6.602
1972	6.605
1973	6.608
1974	6.611
1975	6.612
1976	6.608
1977	6.599
1978	6.583
1979	6.561
1980	6.535
1981	6.508
1982	6.483
1983	6.46
1984	6.436
1985	6.407
1986	6.367
1987	6.31
1988	6.234
1989	6.138
1990	6.024
1991	5.896
1992	5.76
1993	5.622
1994	5.482
1995	5.342
1996	5.198
1997	5.048
1998	4.892
1999	4.733
2000	4.58
2001	4.438
2002	4.314
2003	4.211
2004	4.129
2005	4.067
2006	4.02
2007	3.98
2008	3.942
2009	3.901
2010	3.855
2011	3.802
2012	3.744
2013	3.682
2014	3.617
2015	NA
