Year	Percentage
1960	NA
1961	5.98734641929046
1962	4.48285862746644
1963	8.68883151825305
1964	7.56975744905721
1965	10.419365822013
1966	5.78995180143455
1967	5.40061259720773
1968	7.23322092500283
1969	5.5078996342873
1970	11.3534617181882
1971	0.468372548504419
1972	0.813406404583034
1973	7.06426385694034
1974	3.54019171279791
1975	4.21141563147363
1976	5.15618958985225
1977	3.94769828741481
1978	8.04853361937357
1979	3.75843556853272
1980	10.2157040372709
1981	7.92076357199736
1982	6.53748679998569
1983	6.77837833870629
1984	5.06520560475867
1985	7.59211469875589
1986	5.50165366386091
1987	6.45234302467672
1988	7.6252787795907
1989	4.95976889440846
1990	4.45858681509816
1991	5.06156775497072
1992	7.70589782310797
1993	1.75774769734467
1994	3.73741555244789
1995	4.96260915003212
1996	4.84658128374571
1997	1.0143960141849
1998	2.55023429463535
1999	3.66013274390127
2000	4.26008801156799
2001	1.98248403238117
2002	3.224429972602
2003	4.84632093539447
2004	7.36857135930246
2005	7.66730427146116
2006	6.17754203617736
2007	4.83281727717085
2008	1.7014054654513
2009	2.83165851919991
2010	1.60669195949077
2011	2.74840254954
2012	3.50703342009689
2013	4.36724945081146
2014	4.73835494419686
2015	NA
