Country Name	Series Name	Time	Value
Pakistan	Birth rate, crude (per 1,000 people)	1960	44.184
Pakistan	Birth rate, crude (per 1,000 people)	1961	44.256
Pakistan	Birth rate, crude (per 1,000 people)	1962	44.28
Pakistan	Birth rate, crude (per 1,000 people)	1963	44.259
Pakistan	Birth rate, crude (per 1,000 people)	1964	44.196
Pakistan	Birth rate, crude (per 1,000 people)	1965	44.09
Pakistan	Birth rate, crude (per 1,000 people)	1966	43.943
Pakistan	Birth rate, crude (per 1,000 people)	1967	43.76
Pakistan	Birth rate, crude (per 1,000 people)	1968	43.552
Pakistan	Birth rate, crude (per 1,000 people)	1969	43.329
Pakistan	Birth rate, crude (per 1,000 people)	1970	43.108
Pakistan	Birth rate, crude (per 1,000 people)	1971	42.903
Pakistan	Birth rate, crude (per 1,000 people)	1972	42.722
Pakistan	Birth rate, crude (per 1,000 people)	1973	42.572
Pakistan	Birth rate, crude (per 1,000 people)	1974	42.456
Pakistan	Birth rate, crude (per 1,000 people)	1975	42.374
Pakistan	Birth rate, crude (per 1,000 people)	1976	42.32
Pakistan	Birth rate, crude (per 1,000 people)	1977	42.283
Pakistan	Birth rate, crude (per 1,000 people)	1978	42.252
Pakistan	Birth rate, crude (per 1,000 people)	1979	42.223
Pakistan	Birth rate, crude (per 1,000 people)	1980	42.204
Pakistan	Birth rate, crude (per 1,000 people)	1981	42.211
Pakistan	Birth rate, crude (per 1,000 people)	1982	42.243
Pakistan	Birth rate, crude (per 1,000 people)	1983	42.29
Pakistan	Birth rate, crude (per 1,000 people)	1984	42.328
Pakistan	Birth rate, crude (per 1,000 people)	1985	42.315
Pakistan	Birth rate, crude (per 1,000 people)	1986	42.204
Pakistan	Birth rate, crude (per 1,000 people)	1987	41.963
Pakistan	Birth rate, crude (per 1,000 people)	1988	41.576
Pakistan	Birth rate, crude (per 1,000 people)	1989	41.041
Pakistan	Birth rate, crude (per 1,000 people)	1990	40.374
Pakistan	Birth rate, crude (per 1,000 people)	1991	39.604
Pakistan	Birth rate, crude (per 1,000 people)	1992	38.779
Pakistan	Birth rate, crude (per 1,000 people)	1993	37.94
Pakistan	Birth rate, crude (per 1,000 people)	1994	37.108
Pakistan	Birth rate, crude (per 1,000 people)	1995	36.282
Pakistan	Birth rate, crude (per 1,000 people)	1996	35.447
Pakistan	Birth rate, crude (per 1,000 people)	1997	34.587
Pakistan	Birth rate, crude (per 1,000 people)	1998	33.709
Pakistan	Birth rate, crude (per 1,000 people)	1999	32.836
Pakistan	Birth rate, crude (per 1,000 people)	2000	32.018
