Country	        Indicator	                        Time	Value
United Kingdom	Birth rate, crude (per 1,000 people)	1960	17.5
United Kingdom	Birth rate, crude (per 1,000 people)	1961	17.9
United Kingdom	Birth rate, crude (per 1,000 people)	1962	18.3
United Kingdom	Birth rate, crude (per 1,000 people)	1963	18.5
United Kingdom	Birth rate, crude (per 1,000 people)	1964	18.8
United Kingdom	Birth rate, crude (per 1,000 people)	1965	18.3
United Kingdom	Birth rate, crude (per 1,000 people)	1966	17.9
United Kingdom	Birth rate, crude (per 1,000 people)	1967	17.5
United Kingdom	Birth rate, crude (per 1,000 people)	1968	17.2
United Kingdom	Birth rate, crude (per 1,000 people)	1969	16.6
United Kingdom	Birth rate, crude (per 1,000 people)	1970	16.2
United Kingdom	Birth rate, crude (per 1,000 people)	1971	16.1
United Kingdom	Birth rate, crude (per 1,000 people)	1972	14.9
United Kingdom	Birth rate, crude (per 1,000 people)	1973	13.9
United Kingdom	Birth rate, crude (per 1,000 people)	1974	13.1
United Kingdom	Birth rate, crude (per 1,000 people)	1975	12.4
United Kingdom	Birth rate, crude (per 1,000 people)	1976	12
United Kingdom	Birth rate, crude (per 1,000 people)	1977	11.7
United Kingdom	Birth rate, crude (per 1,000 people)	1978	12.2
United Kingdom	Birth rate, crude (per 1,000 people)	1979	13.1
United Kingdom	Birth rate, crude (per 1,000 people)	1980	13.4
United Kingdom	Birth rate, crude (per 1,000 people)	1981	13
United Kingdom	Birth rate, crude (per 1,000 people)	1982	12.8
United Kingdom	Birth rate, crude (per 1,000 people)	1983	12.8
United Kingdom	Birth rate, crude (per 1,000 people)	1984	12.9
United Kingdom	Birth rate, crude (per 1,000 people)	1985	13.3
United Kingdom	Birth rate, crude (per 1,000 people)	1986	13.3
United Kingdom	Birth rate, crude (per 1,000 people)	1987	13.7
United Kingdom	Birth rate, crude (per 1,000 people)	1988	13.8
United Kingdom	Birth rate, crude (per 1,000 people)	1989	13.6
United Kingdom	Birth rate, crude (per 1,000 people)	1990	13.9
United Kingdom	Birth rate, crude (per 1,000 people)	1991	13.8
United Kingdom	Birth rate, crude (per 1,000 people)	1992	13.6
United Kingdom	Birth rate, crude (per 1,000 people)	1993	13.2
United Kingdom	Birth rate, crude (per 1,000 people)	1994	13
United Kingdom	Birth rate, crude (per 1,000 people)	1995	12.6
