Year	Value
1960	17.5
1961	17.9
1962	18.3
1963	18.5
1964	18.8
1965	18.3
1966	17.9
1967	17.5
1968	17.2
1969	16.6
1970	16.2
1971	16.1
1972	14.9
1973	13.9
1974	13.1
1975	12.4
1976	12
1977	11.7
1978	12.2
1979	13.1
1980	13.4
1981	13
1982	12.8
1983	12.8
1984	12.9
1985	13.3
1986	13.3
1987	13.7
1988	13.8
1989	13.6
1990	13.9
1991	13.8
1992	13.6
1993	13.2
1994	13
1995	12.6
1996	12.6
1997	12.5
1998	12.3
1999	11.9
2000	11.5
2001	11.3
2002	11.3
2003	11.7
2004	11.9
2005	12
2006	12.3
2007	12.6
2008	12.9
2009	12.7
2010	12.9
2011	12.8
2012	12.8
2013	12.1
2014	12
2015	NA
