Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	NA
1981	NA
1982	NA
1983	35.2000007629395
1984	35.5
1985	41.7999992370605
1986	39.5999984741211
1987	39.2000007629395
1988	28.8999996185303
1989	28
1990	23.3999996185303
1991	21.6000003814697
1992	26.6000003814697
1993	32.5
1994	33.9000015258789
1995	32.2000007629395
1996	28
1997	27.7000007629395
1998	24
1999	21.5
2000	18.1000003814697
2001	17.6000003814697
2002	16.1000003814697
2003	15.8000001907349
2004	15.3000001907349
2005	15.1000003814697
2006	16.2000007629395
2007	17.6000003814697
2008	18.1000003814697
2009	21.2999992370605
2010	25.8999996185303
2011	27.5
2012	30.2999992370605
2013	31.7000007629395
2014	30.1000003814697
2015	NA
