Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	NA
1981	NA
1982	NA
1983	9.80000019073486
1984	10
1985	11
1986	10.8999996185303
1987	10.3999996185303
1988	8.60000038146973
1989	7.09999990463257
1990	6.59999990463257
1991	7.40000009536743
1992	7.40000009536743
1993	7.69999980926514
1994	7.40000009536743
1995	6.90000009536743
1996	6.30000019073486
1997	5.80000019073486
1998	5.40000009536743
1999	5.19999980926514
2000	4.90000009536743
2001	4.09999990463257
2002	4.40000009536743
2003	4.09999990463257
2004	4.19999980926514
2005	4.30000019073486
2006	4.90000009536743
2007	4.90000009536743
2008	5.09999990463257
2009	6.40000009536743
2010	6.90000009536743
2011	7.30000019073486
2012	7.40000009536743
2013	7
2014	5.80000019073486
2015	NA
