Year	Value
1960	2.69
1961	2.78
1962	2.86
1963	2.88
1964	2.93
1965	2.86
1966	2.78
1967	2.68
1968	2.6
1969	2.51
1970	2.44
1971	2.41
1972	2.2
1973	2.04
1974	1.92
1975	1.81
1976	1.74
1977	1.69
1978	1.75
1979	1.86
1980	1.9
1981	1.82
1982	1.78
1983	1.77
1984	1.77
1985	1.79
1986	1.78
1987	1.81
1988	1.82
1989	1.79
1990	1.83
1991	1.82
1992	1.79
1993	1.76
1994	1.74
1995	1.71
1996	1.73
1997	1.72
1998	1.71
1999	1.68
2000	1.64
2001	1.63
2002	1.63
2003	1.7
2004	1.75
2005	1.76
2006	1.82
2007	1.86
2008	1.91
2009	1.89
2010	1.92
2011	1.91
2012	1.92
2013	1.83
2014	1.83
2015	NA
