Year	Percentage
1960	NA
1961	2.57356996313516
1962	1.32799317852373
1963	3.95624116673754
1964	5.03828244878241
1965	2.78897682833296
1966	2.04931117754346
1967	2.31096510055488
1968	3.98473799467666
1969	2.05244565108865
1970	2.66816806505446
1971	3.48178576477576
1972	4.22747072174639
1973	6.53822915367329
1974	-2.51978197393599
1975	-1.54943324619776
1976	3.02832985248089
1977	2.59626585624979
1978	4.13061649563096
1979	3.67657255637364
1980	-2.16938877508191
1981	-0.847286499980555
1982	2.0755323287696
1983	4.20223991799928
1984	2.2580580016504
1985	3.54513913919978
1986	3.16047347731134
1987	5.54618554268427
1988	5.93406729787469
1989	2.51793306283371
1990	0.537079782513047
1991	-1.23631875980354
1992	0.446953446342093
1993	2.64559688148331
1994	4.02496314033904
1995	4.91950963913284
1996	2.66781264553228
1997	3.09896056088834
1998	3.37646816739934
1999	3.11274403207263
2000	3.79884463004639
2001	2.75803547041311
2002	2.49391426618671
2003	3.33666457132125
2004	2.48845812089019
2005	2.99635826433185
2006	2.66182255294851
2007	2.58603658251553
2008	-0.466876766010373
2009	-4.19194485998287
2010	1.54017665028898
2011	1.97239856307874
2012	1.17905612305687
2013	2.15990387108103
2014	2.94025323447028
2015	NA
