Year	Value
1960	8975.76742239933
1961	9137.01685646472
1962	9180.11619041626
1963	9472.15141519579
1964	9884.89840181943
1965	10095.5165842845
1966	10245.7639156989
1967	10426.2386180344
1968	10789.0512033818
1969	10964.8036853325
1970	11212.5668066453
1971	11554.6037162475
1972	12002.3074127236
1973	12762.3652833665
1974	12432.9389179515
1975	12241.2075043841
1976	12615.0150409251
1977	12946.7897777202
1978	13480.8494314878
1979	13963.9473560087
1980	13644.6975325023
1981	13524.3776097662
1982	13810.0294527218
1983	14385.4535492329
1984	14687.0230749413
1985	15173.2235557221
1986	15616.557797906
1987	16447.6699837418
1988	17385.0370027561
1989	17776.4461918627
1990	17818.5750330154
1991	17543.9423913986
1992	17574.7636826155
1993	17996.5234768111
1994	18673.2767080075
1995	19540.1489597465
1996	20010.4267749985
1997	20577.4757285849
1998	21210.3691955126
1999	21797.7972721869
2000	22545.1635720628
2001	23077.9513783847
2002	23553.573335664
2003	24226.4059175446
2004	24688.4065579553
2005	25254.1650658432
2006	25736.5132524592
2007	26197.2832695908
2008	25870.5611411783
2009	24599.3090835402
2010	24783.1461962151
2011	25075.1934517754
2012	25195.0484330529
2013	25567.4799923516
2014	26143.5572673023
2015	NA
