Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	NA
1981	NA
1982	NA
1983	50.7000007629395
1984	52.2999992370605
1985	55.0999984741211
1986	52.5
1987	52.7000007629395
1988	52.2000007629395
1989	46.2000007629395
1990	41.2000007629395
1991	32.5999984741211
1992	39.5999984741211
1993	47.2999992370605
1994	51.2000007629395
1995	49.5
1996	45.7999992370605
1997	44.7000007629395
1998	37.9000015258789
1999	34.4000015258789
2000	32.5999984741211
2001	30.2999992370605
2002	25.5
2003	24.8999996185303
2004	24.1000003814697
2005	25.1000003814697
2006	26.6000003814697
2007	28.2999992370605
2008	28.2000007629395
2009	26.5
2010	37.0999984741211
2011	37.7000007629395
2012	38
2013	39.5
2014	40.0999984741211
2015	NA
