Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	NA
1981	NA
1982	NA
1983	12
1984	11.5
1985	11.8000001907349
1986	12
1987	11.5
1988	9.30000019073486
1989	7.59999990463257
1990	7.19999980926514
1991	9.39999961853027
1992	11.6000003814697
1993	12.3999996185303
1994	11.3999996185303
1995	10.1000003814697
1996	9.69999980926514
1997	8.10000038146973
1998	6.90000009536743
1999	6.80000019073486
2000	6.09999990463257
2001	5.19999980926514
2002	5.59999990463257
2003	5.40000009536743
2004	5
2005	5.19999980926514
2006	5.69999980926514
2007	5.59999990463257
2008	6.09999990463257
2009	8.5
2010	8.60000038146973
2011	8.60000038146973
2012	8.30000019073486
2013	8
2014	6.40000009536743
2015	NA
