Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	3.09999990463257
1981	4.90000009536743
1982	5.69999980926514
1983	9.60000038146973
1984	8.60000038146973
1985	6.80000019073486
1986	6.19999980926514
1987	5.69999980926514
1988	5.09999990463257
1989	3.70000004768372
1990	3.70000004768372
1991	4.69999980926514
1992	9
1993	9.10000038146973
1994	10.1999998092651
1995	8.10000038146973
1996	8.39999961853027
1997	8
1998	7.09999990463257
1999	6.19999980926514
2000	5.30000019073486
2001	5.80000019073486
2002	8.10000038146973
2003	11
2004	11.3999996185303
2005	10.8000001907349
2006	9.19999980926514
2007	9
2008	10.3000001907349
2009	16.1000003814697
2010	27.7000007629395
2011	30.2000007629395
2012	28.8999996185303
2013	25.2999992370605
2014	22.2000007629395
2015	NA
