Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	7.40000009536743
1981	7.90000009536743
1982	9.39999961853027
1983	9.19999980926514
1984	7.59999990463257
1985	7.40000009536743
1986	7.09999990463257
1987	6.19999980926514
1988	5.59999990463257
1989	5.40000009536743
1990	5.5
1991	6.40000009536743
1992	7
1993	6.59999990463257
1994	6
1995	5.59999990463257
1996	5.40000009536743
1997	5
1998	4.59999990463257
1999	4.30000019073486
2000	4.09999990463257
2001	4.69999980926514
2002	5.59999990463257
2003	5.69999980926514
2004	5.40000009536743
2005	5.09999990463257
2006	4.59999990463257
2007	4.5
2008	5.40000009536743
2009	8.10000038146973
2010	8.60000038146973
2011	8.5
2012	7.90000009536743
2013	7.09999990463257
2014	6.09999990463257
2015	NA
