Year	Percentage
1960	NA
1961	2.29999999999977
1962	6.09999999999999
1963	4.40000000000002
1964	5.80000000000014
1965	6.39999999999984
1966	6.50000000000024
1967	2.50000000000003
1968	4.79999999999974
1969	3.10000000000004
1970	3.20680725745444
1971	3.29547672836176
1972	5.26326277619982
1973	5.64312484755203
1974	-0.51715456222523
1975	-0.197678536519447
1976	5.38609005075547
1977	4.60859740653179
1978	5.5616849289446
1979	3.17569075012061
1980	-0.244596225208085
1981	2.59447038823151
1982	-1.91089106804856
1983	4.63245718120484
1984	7.25908695936059
1985	4.23873752083914
1986	3.5116144990922
1987	3.46174769185008
1988	4.20397197941298
1989	3.68052403304713
1990	1.91937029742549
1991	-0.0740845307123976
1992	3.55539614766758
1993	2.74585671892275
1994	4.03764342486481
1995	2.71897578878193
1996	3.79588122942587
1997	4.48702649316731
1998	4.44991096328404
1999	4.68519960839866
2000	4.09217644881066
2001	0.975981833932124
2002	1.78612768745552
2003	2.80677595648093
2004	3.78574284969444
2005	3.34521606334877
2006	2.666625826122
2007	1.77857023965289
2008	-0.291621458693953
2009	-2.77552957416808
2010	2.53192061616315
2011	1.60145467247139
2012	2.32108445977606
2013	2.21930802533575
2014	2.38819999999969
2015	NA		
