Year	Value
1960	17036.8851695882
1961	17142.1937673897
1962	17910.2787901684
1963	18431.1584040472
1964	19231.1718590603
1965	20207.7495376936
1966	21274.1354890107
1967	21569.8356088859
1968	22380.6067673191
1969	22850.010833783
1970	23309.6209459064
1971	23775.2769229658
1972	24760.1453772344
1973	25908.9128017215
1974	25540.5010030208
1975	25239.919905729
1976	26347.809281996
1977	27286.2515144911
1978	28500.2404573534
1979	29082.5937779654
1980	28734.3992597646
1981	29191.9994879416
1982	28362.4946163409
1983	29406.2574686046
1984	31268.9756446518
1985	32306.8330567744
1986	33133.6954441913
1987	33975.6547953064
1988	35083.9690428182
1989	36033.3302026991
1990	36312.4141825873
1991	35803.8684213439
1992	36566.1737698527
1993	37078.04968394
1994	38104.9724675631
1995	38677.7150883663
1996	39681.5198579033
1997	40965.8466450522
1998	42292.8912011426
1999	43768.8849928326
2000	45055.817918284
2001	45047.4871976844
2002	45428.6456781274
2003	46304.0360895612
2004	47614.2798621765
2005	48755.6160606735
2006	49575.401013591
2007	49979.5338429195
2008	49364.6445500336
2009	47575.608562749
2010	48374.0564565966
2011	48774.3488863808
2012	49526.6462552261
2013	50244.226695721
2014	51063.4753160758
2015	NA
