Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	5.19999980926514
1981	8.19999980926514
1982	9.19999980926514
1983	16
1984	15.1999998092651
1985	11.6999998092651
1986	10.6999998092651
1987	10
1988	9.39999961853027
1989	7.40000009536743
1990	7
1991	7.40000009536743
1992	12.6000003814697
1993	13.3000001907349
1994	13.8999996185303
1995	11
1996	10.3000001907349
1997	9.39999961853027
1998	8.80000019073486
1999	7.40000009536743
2000	6.69999980926514
2001	6.40000009536743
2002	8.89999961853027
2003	12.5
2004	13.6999998092651
2005	12.6000003814697
2006	10.6999998092651
2007	10.6999998092651
2008	10.8999996185303
2009	16.3999996185303
2010	29.8999996185303
2011	32.2000007629395
2012	29.6000003814697
2013	26.3999996185303
2014	23.7000007629395
2015	NA
