Year	Percentage
1960	NA
1961	NA
1962	NA
1963	NA
1964	NA
1965	NA
1966	NA
1967	NA
1968	NA
1969	NA
1970	NA
1971	NA
1972	NA
1973	NA
1974	NA
1975	NA
1976	NA
1977	NA
1978	NA
1979	NA
1980	6.90000009536743
1981	7.40000009536743
1982	9.89999961853027
1983	9.89999961853027
1984	7.40000009536743
1985	7
1986	6.90000009536743
1987	6.19999980926514
1988	5.5
1989	5.19999980926514
1990	5.69999980926514
1991	7.19999980926514
1992	7.90000009536743
1993	7.19999980926514
1994	6.19999980926514
1995	5.59999990463257
1996	5.40000009536743
1997	4.90000009536743
1998	4.40000009536743
1999	4.09999990463257
2000	3.90000009536743
2001	4.80000019073486
2002	5.90000009536743
2003	6.30000019073486
2004	5.59999990463257
2005	5.09999990463257
2006	4.59999990463257
2007	4.69999980926514
2008	6.09999990463257
2009	10.3000001907349
2010	10.5
2011	9.39999961853027
2012	8.19999980926514
2013	7.59999990463257
2014	6.30000019073486
2015	NA
